,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain,Id
3,8.0,1,-0.35,15.67,17.02,62.335
13,8.0,1,-1.08,15.1,17.18,61.188
23,8.0,1,-0.7,15.34,17.04,61.786
33,8.0,1,-0.73,15.33,17.07,62.192
43,8.0,1,-0.75,15.3,17.05,61.328
53,8.0,1,-0.74,15.29,17.03,61.89
63,8.0,1,-0.62,15.37,16.99,61.38
73,8.0,1,-0.76,15.21,16.97,61.448
83,8.0,1,-0.87,15.09,16.97,61.276
93,8.0,1,-0.65,15.22,16.88,61.363
103,8.0,1,-0.66,15.29,16.96,61.699
113,8.0,1,-0.64,15.3,16.95,61.721000000000004
123,8.0,1,-1.02,14.93,16.95,61.428999999999995
133,8.0,1,-1.88,14.04,16.93,60.051
143,8.0,1,-0.85,15.08,16.93,61.108999999999995
153,8.0,1,-0.99,15.02,17.01,61.361000000000004
163,8.0,1,-0.94,15.01,16.95,61.217
173,8.0,1,-0.85,15.04,16.89,61.343
183,8.0,1,-0.65,15.31,16.96,61.82899999999999
193,8.0,1,-0.58,15.27,16.86,61.801
203,8.0,1,-0.62,15.34,16.96,61.446999999999996
213,8.0,1,-0.55,15.39,16.95,61.809
223,8.0,1,-0.7,15.27,16.98,60.95399999999999
233,8.0,1,-1.43,14.58,17.02,61.125
243,8.0,1,-0.41,15.64,17.06,62.021
253,8.0,1,-0.48,15.61,17.09,62.505
263,8.0,1,-0.47,15.68,17.16,62.488
273,8.0,1,-0.46,15.66,17.12,62.129
283,8.0,1,-0.41,15.74,17.16,62.105
293,8.0,1,-0.41,15.7,17.12,61.778
303,8.0,1,0.04,16.02,16.97,62.956
313,8.0,1,-0.25,15.8,17.05,62.63399999999999
323,8.0,1,-0.67,15.44,17.11,62.403999999999996
333,8.0,1,-0.86,15.16,17.02,61.628
343,8.0,1,-1.05,14.93,16.99,61.458999999999996
353,8.0,1,-0.79,15.27,17.07,61.211999999999996
363,8.0,1,-1.25,14.89,17.15,61.229
373,8.0,1,-0.93,15.11,17.04,61.544
383,8.0,1,-0.76,15.24,17.0,61.89
393,8.0,1,-0.96,14.94,16.91,61.102
403,8.0,1,-1.05,14.93,16.99,60.672
413,8.0,1,-1.17,14.8,16.98,60.711999999999996
423,8.0,1,-1.16,14.87,17.03,60.843
433,8.0,1,-0.89,15.06,16.96,60.776
443,8.0,1,-0.99,15.02,17.02,61.251000000000005
453,8.0,1,-0.92,15.04,16.96,61.213
463,8.0,1,-1.03,14.97,17.0,60.943000000000005
473,8.0,1,-0.98,14.99,16.97,61.077
483,8.0,1,-0.87,15.14,17.02,61.262
493,8.0,1,-0.92,15.06,16.99,61.18600000000001
503,8.0,1,-0.91,15.02,16.94,60.74100000000001
513,8.0,1,-0.78,15.18,16.96,61.43899999999999
523,8.0,1,-0.78,15.21,17.0,61.27
533,8.0,1,-0.96,14.97,16.93,60.998000000000005
543,8.0,1,-0.82,15.15,16.98,61.111999999999995
553,8.0,1,-0.91,15.05,16.97,60.783
563,8.0,1,-0.83,15.2,17.03,61.32
573,8.0,1,-0.78,15.24,17.02,61.202
583,8.0,1,-0.44,15.53,16.98,61.76
593,8.0,1,-0.55,15.53,17.09,61.683
603,8.0,1,-0.59,15.52,17.12,61.732
613,8.0,1,-0.54,15.57,17.12,61.666000000000004
623,8.0,1,-0.43,15.76,17.19,62.236999999999995
633,8.0,1,-0.4,15.77,17.17,62.778999999999996
643,8.0,1,-0.61,15.28,16.9,62.266000000000005
653,8.0,1,-0.87,15.07,16.95,60.951
663,8.0,1,-0.72,15.32,17.05,62.153
673,8.0,1,-0.96,15.09,17.06,61.398999999999994
683,8.0,1,-1.08,14.88,16.96,60.86
693,8.0,1,-0.85,15.15,17.01,61.295
703,8.0,1,-1.47,14.58,17.05,61.353
713,8.0,1,-1.25,14.88,17.13,60.925
723,8.0,1,-1.27,14.83,17.11,61.193999999999996
733,8.0,1,-1.24,14.9,17.14,60.793
743,8.0,1,-1.03,15.05,17.08,61.394
753,8.0,1,-1.13,15.0,17.13,60.961999999999996
763,8.0,1,-1.09,14.93,17.03,60.635
773,8.0,1,-1.16,14.97,17.14,61.115
783,8.0,1,-2.0,14.09,17.1,60.217
793,8.0,1,-1.05,15.04,17.09,60.956
803,8.0,1,-1.16,14.88,17.05,60.778999999999996
813,8.0,1,-1.01,15.01,17.02,60.611999999999995
823,8.0,1,-1.05,14.98,17.04,60.897
833,8.0,1,-0.97,15.05,17.03,60.778999999999996
843,8.0,1,-0.89,15.1,17.0,61.167
853,8.0,1,-0.95,15.05,17.01,60.683
863,8.0,1,-0.91,14.99,16.91,60.948
873,8.0,1,-0.86,15.09,16.95,61.521
883,8.0,1,-1.04,14.99,17.03,60.888999999999996
893,8.0,1,-0.82,15.12,16.95,61.573
903,8.0,1,-0.52,15.44,16.97,61.93600000000001
913,8.0,1,-0.57,15.58,17.15,61.99
923,8.0,1,-0.89,15.24,17.14,61.501000000000005
933,8.0,1,-0.51,15.6,17.11,62.236999999999995
