,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain
1,9,1,-5.11,15.92,22.03
11,9,1,-5.16,15.87,22.04
21,9,1,-5.31,15.84,22.15
31,9,1,-5.31,15.79,22.1
41,9,1,-5.33,15.82,22.16
51,9,1,-5.24,15.83,22.07
61,9,1,-5.43,15.78,22.22
71,9,1,-5.31,15.8,22.11
81,9,1,-5.4,15.65,22.05
91,9,1,-5.63,15.54,22.18
101,9,1,-5.46,15.59,22.05
111,9,1,-5.75,15.43,22.18
121,9,1,-5.7,15.4,22.11
131,9,1,-5.48,15.55,22.04
141,9,1,-5.84,15.5,22.34
151,9,1,-5.75,15.4,22.16
161,9,1,-5.71,15.46,22.18
171,9,1,-5.79,15.4,22.2
181,9,1,-5.83,15.38,22.22
191,9,1,-5.72,15.46,22.18
201,9,1,-5.68,15.43,22.12
211,9,1,-5.52,15.46,21.99
221,9,1,-5.52,15.55,22.07
231,9,1,-5.4,15.5,21.9
241,9,1,-5.43,15.58,22.02
251,9,1,-5.89,15.43,22.32
261,9,1,-5.6,15.63,22.24
271,9,1,-5.68,15.64,22.32
281,9,1,-5.62,15.62,22.24
291,9,1,-5.97,15.52,22.49
301,9,1,-5.77,15.67,22.44
311,9,1,-5.75,15.74,22.5
321,9,1,-5.79,15.77,22.57
331,9,1,-5.68,15.83,22.52
341,9,1,-5.15,15.76,21.92
351,9,1,-5.27,15.76,22.04
361,9,1,-5.46,15.72,22.19
371,9,1,-5.38,15.74,22.13
381,9,1,-5.74,15.57,22.31
391,9,1,-5.55,15.56,22.12
401,9,1,-5.84,15.4,22.25
411,9,1,-5.69,15.47,22.17
421,9,1,-5.84,15.41,22.25
431,9,1,-6.1,15.31,22.41
441,9,1,-5.8,15.39,22.19
451,9,1,-5.96,15.35,22.31
461,9,1,-6.12,15.28,22.4
471,9,1,-6.15,15.23,22.39
481,9,1,-6.11,15.27,22.39
491,9,1,-6.17,15.22,22.4
501,9,1,-6.04,15.28,22.33
511,9,1,-5.8,15.37,22.17
521,9,1,-5.85,15.46,22.31
531,9,1,-5.73,15.45,22.19
541,9,1,-5.9,15.42,22.33
551,9,1,-5.75,15.45,22.2
561,9,1,-5.78,15.46,22.25
571,9,1,-5.84,15.46,22.31
581,9,1,-5.56,15.56,22.13
591,9,1,-5.8,15.55,22.35
601,9,1,-5.71,15.57,22.28
611,9,1,-5.83,15.56,22.4
621,9,1,-5.83,15.54,22.37
631,9,1,-5.72,15.62,22.35
641,9,1,-5.78,15.62,22.4
651,9,1,-5.54,15.68,22.23
661,9,1,-5.67,15.66,22.33
671,9,1,-5.65,15.74,22.39
681,9,1,-5.59,15.77,22.36
691,9,1,-5.51,15.74,22.25
701,9,1,-5.24,15.8,22.04
711,9,1,-5.13,15.84,21.98
721,9,1,-4.78,15.85,21.63
731,9,1,-4.81,15.83,21.64
741,9,1,-4.97,15.69,21.66
751,9,1,-5.41,15.65,22.06
761,9,1,-5.53,15.56,22.1
771,9,1,-6.02,15.32,22.35
781,9,1,-6.1,15.26,22.37
791,9,1,-6.09,15.31,22.4
801,9,1,-6.11,15.28,22.4
811,9,1,-5.58,15.32,21.9
821,9,1,-6.01,15.32,22.34
831,9,1,-6.27,15.16,22.43
841,9,1,-6.13,15.29,22.42
851,9,1,-6.12,15.24,22.36
861,9,1,-6.2,15.28,22.48
871,9,1,-5.98,15.38,22.36
881,9,1,-6.01,15.29,22.3
891,9,1,-6.23,15.22,22.46
901,9,1,-5.98,15.35,22.34
911,9,1,-6.39,15.13,22.52
921,9,1,-6.23,15.17,22.4
931,9,1,-6.36,15.17,22.53
941,9,1,-5.98,15.42,22.41
951,9,1,-6.03,15.43,22.46
