,Test,Die,VDD (V),,Freq (GHz),Comp. level (dB),Pin_comp(dBm),Pout_comp (dBm),Linear Gain,Id (mA),,,,,,,,,,,,,,,,
693862,PDB2,AD19,5,#,12,1,-4.69,13.02,18.71,59.567,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD19,5,#,0.5,3,4.91,18.49,16.58,69.164,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD19,5,#,2,3,3.6,17.58,16.97,68.987,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD19,5,#,6,3,3.82,17.57,16.75,68.205,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD19,5,#,8,3,3.47,17.52,17.05,64.497,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD19,5,#,12,3,-0.17,15.54,18.71,61.687,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD20,5,#,0.5,1,1.03,16.62,16.58,65.373,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD20,5,#,2,1,0,15.91,16.91,64.346,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD20,5,#,6,1,0.1,15.75,16.64,64.032,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD20,5,#,8,1,-0.74,15.29,17.03,61.89,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD20,5,#,12,1,-3.92,13.44,18.36,60.363,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD20,5,#,0.5,3,4.83,18.41,16.58,69.186,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD20,5,#,2,3,3.62,17.54,16.91,68.979,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD20,5,#,6,3,3.96,17.6,16.64,68.549,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD20,5,#,8,3,3.27,17.31,17.03,64.519,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD20,5,#,12,3,0.63,15.99,18.36,62.531,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD25,5,#,0.5,1,0.98,16.46,16.48,64.829,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD25,5,#,2,1,-0.23,15.67,16.9,63.534,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD25,5,#,6,1,-0.05,15.63,16.69,63.288,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD25,5,#,8,1,-0.62,15.37,16.99,61.38,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD25,5,#,12,1,-4.84,12.89,18.74,59.616,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
