,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain
9,18,3,1.01,18.82,20.81
19,18,3,1.0,18.75,20.74
29,18,3,0.88,18.72,20.83
39,18,3,1.01,18.68,20.67
49,18,3,0.93,18.7,20.76
59,18,3,1.05,18.7,20.65
69,18,3,1.0,18.64,20.64
79,18,3,1.01,18.67,20.65
89,18,3,0.86,18.56,20.7
99,18,3,0.68,18.53,20.84
109,18,3,0.92,18.48,20.55
119,18,3,0.61,18.41,20.79
129,18,3,0.61,18.39,20.77
139,18,3,0.91,18.48,20.56
149,18,3,0.54,18.43,20.88
159,18,3,0.54,18.3,20.76
169,18,3,0.56,18.36,20.8
179,18,3,0.55,18.39,20.84
189,18,3,0.53,18.31,20.78
199,18,3,0.61,18.35,20.73
209,18,3,0.68,18.32,20.64
219,18,3,0.67,18.38,20.71
229,18,3,0.79,18.46,20.66
239,18,3,0.92,18.39,20.47
249,18,3,0.86,18.49,20.63
259,18,3,0.57,18.37,20.8
269,18,3,0.92,18.5,20.57
279,18,3,0.69,18.47,20.78
289,18,3,0.9,18.45,20.54
299,18,3,0.56,18.33,20.76
309,18,3,0.78,18.42,20.64
319,18,3,0.76,18.54,20.77
329,18,3,0.66,18.54,20.88
339,18,3,0.81,18.58,20.77
349,18,3,0.76,18.81,21.05
359,18,3,0.79,18.66,20.86
369,18,3,0.63,18.59,20.95
379,18,3,0.8,18.63,20.83
389,18,3,0.56,18.44,20.88
399,18,3,0.75,18.47,20.71
409,18,3,0.55,18.36,20.81
419,18,3,0.66,18.39,20.72
429,18,3,0.55,18.31,20.76
439,18,3,0.37,18.25,20.88
449,18,3,0.73,18.35,20.61
459,18,3,0.5,18.32,20.81
469,18,3,0.4,18.28,20.88
479,18,3,0.39,18.27,20.87
489,18,3,0.43,18.29,20.86
499,18,3,0.37,18.24,20.86
509,18,3,0.46,18.26,20.8
519,18,3,0.66,18.31,20.65
529,18,3,0.62,18.37,20.74
539,18,3,0.7,18.36,20.65
549,18,3,0.56,18.3,20.74
559,18,3,0.76,18.37,20.6
569,18,3,0.69,18.35,20.66
579,18,3,0.61,18.34,20.73
589,18,3,0.85,18.44,20.58
599,18,3,0.82,18.39,20.57
609,18,3,0.84,18.34,20.49
619,18,3,0.64,18.33,20.68
629,18,3,0.69,18.34,20.65
639,18,3,0.75,18.42,20.66
649,18,3,0.65,18.41,20.75
659,18,3,0.91,18.49,20.57
669,18,3,0.62,18.42,20.8
679,18,3,0.73,18.49,20.76
689,18,3,0.68,18.5,20.81
699,18,3,0.73,18.47,20.73
709,18,3,0.88,18.55,20.66
719,18,3,0.86,18.56,20.7
729,18,3,0.87,18.89,21.01
739,18,3,1.03,18.84,20.81
749,18,3,0.83,18.71,20.87
759,18,3,0.59,18.64,21.05
769,18,3,0.52,18.59,21.07
779,18,3,0.28,18.3,21.02
789,18,3,0.3,18.28,20.98
799,18,3,0.33,18.29,20.95
809,18,3,0.37,18.28,20.91
819,18,3,0.96,18.23,20.27
829,18,3,0.41,18.19,20.77
839,18,3,0.37,18.14,20.77
849,18,3,0.34,18.21,20.86
859,18,3,0.44,18.16,20.72
869,18,3,0.36,18.2,20.84
879,18,3,0.52,18.25,20.72
889,18,3,0.53,18.16,20.63
899,18,3,0.35,18.15,20.8
909,18,3,0.59,18.22,20.62
919,18,3,0.27,18.08,20.8
929,18,3,0.44,18.11,20.66
939,18,3,0.38,18.12,20.74
949,18,3,0.58,18.27,20.69
959,18,3,0.5,18.29,20.79
969,18,3,0.73,18.37,20.64
979,18,3,0.49,18.32,20.83
989,18,3,0.71,18.33,20.62
999,18,3,0.59,18.33,20.73
1009,18,3,0.59,18.33,20.73
1019,18,3,0.7,18.36,20.66
1029,18,3,0.49,18.31,20.82
1039,18,3,0.57,18.36,20.78
1049,18,3,0.61,18.42,20.81
1059,18,3,0.86,18.53,20.67
1069,18,3,0.69,18.43,20.73
1079,18,3,0.13,18.51,21.38
1089,18,3,0.14,18.53,21.38
1099,18,3,0.32,18.58,21.25
1109,18,3,0.46,18.63,21.16
1119,18,3,0.55,18.62,21.06
1129,18,3,0.43,18.51,21.07
1139,18,3,0.5,18.45,20.95
1149,18,3,0.4,18.39,20.98
1159,18,3,0.56,18.39,20.83
1169,18,3,0.52,18.39,20.87
1179,18,3,0.53,18.44,20.9
1189,18,3,0.67,18.41,20.74
1199,18,3,0.51,18.39,20.87
1209,18,3,0.63,18.42,20.78
1219,18,3,0.51,18.39,20.88
1229,18,3,0.58,18.41,20.83
1239,18,3,0.62,18.38,20.75
1249,18,3,0.44,18.36,20.92
1259,18,3,0.56,18.43,20.87
1269,18,3,0.44,18.39,20.95
1279,18,3,0.46,18.46,20.99
1289,18,3,0.4,18.41,21.0
1299,18,3,0.41,18.39,20.97
1309,18,3,0.36,18.38,21.02
1319,18,3,0.87,18.78,20.91
1329,18,3,0.99,18.81,20.82
1339,18,3,1.07,18.79,20.71
1349,18,3,0.91,18.76,20.85
1359,18,3,0.78,18.66,20.87
1369,18,3,0.76,18.63,20.87
1379,18,3,0.83,18.68,20.85
1389,18,3,0.61,18.6,20.98
1399,18,3,0.77,18.62,20.85
1409,18,3,0.63,18.62,20.99
1419,18,3,0.83,18.6,20.77
1429,18,3,0.86,18.62,20.76
1439,18,3,0.9,18.65,20.75
1449,18,3,0.83,18.58,20.74
1459,18,3,0.69,18.57,20.87
1469,18,3,0.81,18.62,20.81
1479,18,3,0.65,18.59,20.93
1489,18,3,0.76,18.54,20.78
1499,18,3,0.68,18.54,20.86
1509,18,3,0.75,18.6,20.85
1519,18,3,0.74,18.56,20.81
1529,18,3,0.78,18.6,20.82
1539,18,3,0.9,18.62,20.71
1549,18,3,0.67,18.55,20.87
1559,18,3,0.9,18.62,20.71
1569,18,3,0.88,18.63,20.75
1579,18,3,0.91,18.57,20.66
1589,18,3,0.96,18.66,20.7
1599,18,3,1.16,18.96,20.8
1609,18,3,1.08,18.84,20.76
1619,18,3,0.9,18.83,20.93
1629,18,3,1.02,18.85,20.82
1639,18,3,0.83,18.71,20.88
1649,18,3,0.92,18.76,20.83
1659,18,3,0.75,18.65,20.89
1669,18,3,0.87,18.65,20.77
1679,18,3,0.95,18.63,20.68
1689,18,3,0.83,18.63,20.8
1699,18,3,0.96,18.68,20.71
1709,18,3,0.73,18.54,20.81
1719,18,3,0.81,18.59,20.78
1729,18,3,0.7,18.53,20.83
1739,18,3,0.7,18.47,20.77
1749,18,3,0.76,18.53,20.77
1759,18,3,0.92,18.63,20.71
1769,18,3,1.2,18.73,20.52
1779,18,3,1.03,18.61,20.57
1789,18,3,1.11,18.6,20.49
1799,18,3,0.88,18.58,20.7
1809,18,3,0.85,18.56,20.7
1819,18,3,0.57,18.37,20.79
1829,18,3,0.72,18.49,20.77
1839,18,3,0.92,18.6,20.67
1849,18,3,0.78,18.58,20.8
1859,18,3,0.89,18.6,20.7
1869,18,3,0.78,18.57,20.79
1879,18,3,0.81,18.57,20.76
1889,18,3,0.75,18.5,20.75
1899,18,3,0.69,18.55,20.85
1909,18,3,0.87,18.61,20.73
1919,18,3,0.72,18.52,20.8
1929,18,3,0.94,18.67,20.72
1939,18,3,0.81,18.62,20.81
1949,18,3,1.05,18.62,20.56
1959,18,3,1.16,18.87,20.71
1969,18,3,1.1,18.77,20.67
1979,18,3,0.95,18.72,20.77
