,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain
1989,18,3,1.14,18.77,20.63
1999,18,3,1.01,18.7,20.68
2009,18,3,1.09,18.69,20.6
2019,18,3,1.01,18.66,20.65
2029,18,3,1.05,18.59,20.54
2039,18,3,0.96,18.58,20.62
2049,18,3,1.09,18.63,20.54
2059,18,3,1.19,18.65,20.46
2069,18,3,1.05,18.6,20.54
2079,18,3,1.05,18.6,20.54
2089,18,3,0.91,18.57,20.65
2099,18,3,1.0,18.5,20.49
2109,18,3,0.91,18.55,20.63
2119,18,3,0.77,18.51,20.74
2129,18,3,1.05,18.56,20.5
2139,18,3,1.06,18.5,20.44
2149,18,3,1.3,18.57,20.27
2159,18,3,1.0,18.57,20.57
2169,18,3,0.97,18.54,20.57
2179,18,3,0.94,18.55,20.61
2189,18,3,0.73,18.45,20.72
2199,18,3,0.87,18.54,20.66
2209,18,3,0.71,18.45,20.73
2219,18,3,1.03,18.54,20.51
2229,18,3,0.85,18.46,20.61
2239,18,3,0.64,18.39,20.75
2249,18,3,0.68,18.46,20.77
2259,18,3,0.68,18.53,20.84
2269,18,3,0.91,18.68,20.77
2279,18,3,0.67,18.52,20.85
2289,18,3,0.92,18.65,20.72
2299,18,3,0.76,18.63,20.86
2309,18,3,0.99,18.66,20.67
2319,18,3,1.12,18.78,20.66
2329,18,3,1.01,18.91,20.89
2339,18,3,1.11,18.94,20.82
2349,18,3,1.16,18.9,20.74
