,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain
1630,6,1,-6.85,15.36,23.21
1640,6,1,-6.82,15.41,23.24
1650,6,1,-7.04,15.26,23.31
1660,6,1,-6.94,15.39,23.33
1670,6,1,-6.83,15.32,23.15
1680,6,1,-6.85,15.35,23.21
1690,6,1,-6.83,15.39,23.22
1700,6,1,-7.07,15.28,23.36
1710,6,1,-7.04,15.35,23.4
1720,6,1,-7.1,15.28,23.39
1730,6,1,-7.18,15.2,23.39
1740,6,1,-6.99,15.3,23.29
1750,6,1,-6.84,15.32,23.16
1760,6,1,-6.65,15.43,23.09
1770,6,1,-6.75,15.32,23.08
1780,6,1,-6.81,15.28,23.1
1790,6,1,-6.89,15.31,23.2
1800,6,1,-6.94,15.31,23.25
1810,6,1,-7.29,15.1,23.39
1820,6,1,-6.99,15.24,23.24
1830,6,1,-6.85,15.35,23.2
1840,6,1,-6.93,15.35,23.29
1850,6,1,-6.84,15.39,23.23
1860,6,1,-6.94,15.39,23.34
1870,6,1,-6.94,15.43,23.38
1880,6,1,-6.99,15.42,23.41
1890,6,1,-6.94,15.47,23.42
1900,6,1,-6.85,15.54,23.4
1910,6,1,-6.86,15.5,23.37
1920,6,1,-6.64,15.71,23.36
1930,6,1,-6.68,15.67,23.35
1940,6,1,-6.45,15.66,23.12
1950,6,1,-6.47,15.59,23.07
1960,6,1,-6.55,15.55,23.1
1970,6,1,-6.72,15.45,23.18
1980,6,1,-6.61,15.53,23.15
1990,6,1,-6.7,15.49,23.2
2000,6,1,-6.69,15.52,23.21
2010,6,1,-6.71,15.43,23.15
2020,6,1,-6.78,15.38,23.16
2030,6,1,-6.75,15.41,23.17
2040,6,1,-6.62,15.45,23.08
2050,6,1,-6.5,15.49,23.0
2060,6,1,-6.63,15.38,23.02
2070,6,1,-6.65,15.37,23.03
2080,6,1,-6.77,15.34,23.11
2090,6,1,-6.83,15.18,23.02
2100,6,1,-6.67,15.3,22.98
2110,6,1,-6.76,15.27,23.03
2120,6,1,-6.57,15.33,22.91
2130,6,1,-6.6,15.27,22.88
2140,6,1,-6.53,15.31,22.84
2150,6,1,-6.62,15.31,22.94
2160,6,1,-6.73,15.27,23.01
2170,6,1,-6.7,15.31,23.02
2180,6,1,-6.9,15.24,23.14
2190,6,1,-6.78,15.35,23.14
2200,6,1,-6.93,15.34,23.27
2210,6,1,-6.84,15.4,23.25
2220,6,1,-6.97,15.41,23.38
2230,6,1,-7.21,15.29,23.51
2240,6,1,-7.09,15.41,23.51
2250,6,1,-7.04,15.44,23.49
2260,6,1,-6.79,15.68,23.47
2270,6,1,-7.03,15.48,23.52
2280,6,1,-6.73,15.7,23.44
2290,6,1,-6.79,15.73,23.52
2300,6,1,-6.58,15.76,23.35
2310,6,1,-6.28,15.97,23.26
2320,6,1,-6.38,15.44,22.82
2330,6,1,-6.44,15.5,22.95
2340,6,1,-6.37,15.56,22.94
