,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain,Id
4,12.0,1,-4.62,13.09,18.72,60.268
14,12.0,1,-4.19,13.39,18.59,60.13
24,12.0,1,-4.54,13.05,18.6,60.111999999999995
34,12.0,1,-4.62,13.12,18.75,60.482
44,12.0,1,-4.69,13.02,18.71,59.567
54,12.0,1,-3.92,13.44,18.36,60.363
64,12.0,1,-4.84,12.89,18.74,59.61600000000001
74,12.0,1,-4.96,12.76,18.73,59.757
84,12.0,1,-5.04,12.62,18.66,59.672
94,12.0,1,-4.76,12.81,18.58,59.61
104,12.0,1,-4.91,12.8,18.72,60.035
114,12.0,1,-4.89,12.83,18.73,59.983000000000004
124,12.0,1,-5.36,12.37,18.74,60.032
134,12.0,1,-6.03,11.62,18.66,59.078
144,12.0,1,-5.0,12.65,18.65,59.58
154,12.0,1,-5.21,12.55,18.77,59.983000000000004
164,12.0,1,-5.2,12.48,18.69,59.73
174,12.0,1,-5.07,12.56,18.64,59.806999999999995
184,12.0,1,-4.81,12.9,18.72,60.187
194,12.0,1,-4.71,12.85,18.57,60.085
204,12.0,1,-4.81,12.92,18.74,59.77
214,12.0,1,-4.72,13.0,18.72,60.118
224,12.0,1,-4.89,12.86,18.76,59.331
234,12.0,1,-4.39,12.84,18.23,60.101000000000006
244,12.0,1,-4.6,13.27,18.87,60.16
254,12.0,1,-4.67,13.19,18.86,60.652
264,12.0,1,-4.74,13.24,18.98,60.611999999999995
274,12.0,1,-4.63,13.25,18.89,60.29
284,12.0,1,-4.61,13.35,18.97,60.217
294,12.0,1,-4.47,13.39,18.86,59.933
304,12.0,1,-4.22,13.44,18.67,60.538000000000004
314,12.0,1,-4.37,13.38,18.76,60.461999999999996
324,12.0,1,-3.84,13.65,18.5,60.836999999999996
334,12.0,1,-3.89,13.51,18.41,60.351000000000006
344,12.0,1,-4.88,12.8,18.69,59.865
354,12.0,1,-4.9,12.86,18.77,59.481
364,12.0,1,-5.08,12.68,18.77,59.803000000000004
374,12.0,1,-4.73,12.83,18.56,60.06399999999999
384,12.0,1,-4.79,12.69,18.48,60.323
394,12.0,1,-4.65,12.8,18.46,59.558
404,12.0,1,-5.25,12.42,18.67,59.266999999999996
414,12.0,1,-5.36,12.31,18.68,59.368
424,12.0,1,-5.4,12.36,18.77,59.486999999999995
434,12.0,1,-5.15,12.55,18.7,59.251999999999995
444,12.0,1,-5.22,12.54,18.76,59.791000000000004
454,12.0,1,-5.1,12.58,18.69,59.70399999999999
464,12.0,1,-5.27,12.47,18.74,59.538999999999994
474,12.0,1,-5.17,12.53,18.7,59.638999999999996
484,12.0,1,-5.11,12.66,18.77,59.773
494,12.0,1,-5.15,12.57,18.73,59.769
504,12.0,1,-5.21,12.48,18.69,59.309
514,12.0,1,-4.98,12.72,18.7,59.943000000000005
524,12.0,1,-4.98,12.77,18.75,59.754
534,12.0,1,-5.17,12.5,18.68,59.588
544,12.0,1,-5.03,12.71,18.74,59.614
554,12.0,1,-5.17,12.58,18.75,59.327
564,12.0,1,-5.09,12.75,18.84,59.845
574,12.0,1,-4.98,12.79,18.78,59.661
584,12.0,1,-4.57,13.15,18.72,59.997
594,12.0,1,-4.7,13.13,18.83,59.931999999999995
604,12.0,1,-4.81,13.09,18.91,60.042
614,12.0,1,-4.71,13.16,18.88,59.842
624,12.0,1,-4.68,13.33,19.01,60.251000000000005
634,12.0,1,-4.52,13.37,18.89,60.888000000000005
644,12.0,1,-3.75,13.72,18.48,60.898
654,12.0,1,-4.58,12.99,18.57,59.562
664,12.0,1,-4.85,12.94,18.79,60.325
674,12.0,1,-5.17,12.59,18.77,59.743
