,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain,Id
1260,0.5,1,0.83,16.18,16.35,64.479
1270,0.5,1,1.01,16.36,16.34,64.699
1280,0.5,1,0.9,16.28,16.38,64.962
1290,0.5,1,0.97,16.31,16.34,64.908
1300,0.5,1,0.88,16.29,16.41,64.899
1310,0.5,1,0.93,16.31,16.38,65.11399999999999
1320,0.5,1,1.56,17.01,16.45,67.226
1330,0.5,1,1.26,16.84,16.57,66.192
1340,0.5,1,1.32,16.87,16.55,66.611
1350,0.5,1,1.22,16.81,16.59,65.85600000000001
1360,0.5,1,1.07,16.62,16.54,65.518
1370,0.5,1,1.05,16.6,16.55,64.92
1380,0.5,1,1.25,16.82,16.56,66.337
1390,0.5,1,1.04,16.55,16.51,65.22
1400,0.5,1,1.0,16.46,16.46,65.315
1410,0.5,1,0.82,16.28,16.46,65.096
1420,0.5,1,1.08,16.43,16.35,65.325
1430,0.5,1,1.09,16.49,16.4,65.709
1440,0.5,1,1.07,16.45,16.37,65.709
1450,0.5,1,1.16,16.55,16.38,66.008
1460,0.5,1,1.16,16.52,16.35,65.861
1470,0.5,1,1.18,16.5,16.32,65.702
1480,0.5,1,1.12,16.46,16.33,65.899
1490,0.5,1,1.12,16.46,16.33,65.542
1500,0.5,1,1.15,16.46,16.31,65.767
1510,0.5,1,0.94,16.29,16.34,65.233
1520,0.5,1,0.85,16.16,16.31,64.139
1530,0.5,1,1.0,16.34,16.33,65.298
1540,0.5,1,1.06,16.42,16.35,65.497
1550,0.5,1,1.12,16.48,16.35,65.876
1560,0.5,1,1.06,16.41,16.35,65.619
1570,0.5,1,1.09,16.51,16.41,65.604
1580,0.5,1,1.03,16.46,16.43,65.34
1590,0.5,1,1.01,16.47,16.46,65.671
1600,0.5,1,1.1,16.55,16.45,65.911
1610,0.5,1,1.17,16.65,16.48,66.554
1620,0.5,1,1.14,16.63,16.48,66.041
1630,0.5,1,1.61,16.98,16.37,66.867
1640,0.5,1,1.42,16.98,16.55,66.456
1650,0.5,1,0.9,16.58,16.67,65.241
1660,0.5,1,1.12,16.76,16.63,66.038
1670,0.5,1,1.07,16.7,16.63,65.208
1680,0.5,1,1.04,16.66,16.61,65.391
1690,0.5,1,1.1,16.7,16.6,65.308
1700,0.5,1,1.13,16.7,16.56,65.654
1710,0.5,1,1.09,16.64,16.55,65.816
