,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain,Id
5,0.5,3,5.16,18.71,16.55,70.883
15,0.5,3,4.77,18.42,16.65,68.855
25,0.5,3,4.92,18.53,16.6,69.615
35,0.5,3,4.96,18.59,16.63,70.068
45,0.5,3,4.91,18.49,16.58,69.164
55,0.5,3,4.83,18.41,16.58,69.186
65,0.5,3,4.75,18.23,16.48,68.375
75,0.5,3,4.69,18.15,16.45,68.072
85,0.5,3,4.61,18.03,16.42,67.589
95,0.5,3,4.75,18.06,16.31,68.17399999999999
105,0.5,3,4.73,18.11,16.38,68.437
115,0.5,3,4.76,18.12,16.35,68.57
125,0.5,3,4.31,17.69,16.37,66.38600000000001
135,0.5,3,3.82,17.18,16.35,63.608999999999995
145,0.5,3,4.48,17.79,16.31,66.764
155,0.5,3,4.39,17.78,16.38,66.709
165,0.5,3,4.47,17.83,16.36,67.042
175,0.5,3,4.54,17.86,16.31,67.251
185,0.5,3,4.65,18.03,16.37,68.188
195,0.5,3,4.66,18.02,16.35,68.128
205,0.5,3,4.63,18.02,16.38,67.947
215,0.5,3,4.69,18.05,16.36,68.22399999999999
225,0.5,3,4.57,17.94,16.37,67.28699999999999
235,0.5,3,4.44,17.83,16.39,67.02199999999999
245,0.5,3,4.77,18.24,16.46,69.344
255,0.5,3,4.82,18.3,16.47,69.762
265,0.5,3,4.82,18.34,16.51,69.91
275,0.5,3,4.82,18.3,16.48,69.624
285,0.5,3,4.84,18.35,16.51,69.862
295,0.5,3,4.82,18.31,16.49,69.52199999999999
305,0.5,3,5.41,18.87,16.46,71.888
315,0.5,3,5.31,18.81,16.5,71.51
325,0.5,3,5.21,18.79,16.57,71.30199999999999
335,0.5,3,5.21,18.67,16.45,70.676
345,0.5,3,4.65,18.26,16.61,68.217
355,0.5,3,4.68,18.25,16.57,67.92399999999999
365,0.5,3,4.55,18.19,16.64,67.612
375,0.5,3,4.47,18.1,16.62,67.205
385,0.5,3,4.54,18.17,16.62,67.755
395,0.5,3,4.54,18.1,16.55,67.221
405,0.5,3,4.33,17.78,16.45,66.082
415,0.5,3,4.3,17.74,16.43,66.001
425,0.5,3,4.32,17.77,16.45,66.324
435,0.5,3,4.48,17.87,16.39,66.992
445,0.5,3,4.45,17.88,16.43,67.175
455,0.5,3,4.45,17.84,16.39,67.17699999999999
465,0.5,3,4.38,17.78,16.4,66.66
475,0.5,3,4.4,17.78,16.38,66.679
485,0.5,3,4.49,17.9,16.4,67.21600000000001
495,0.5,3,4.48,17.87,16.38,67.128
505,0.5,3,4.38,17.75,16.37,66.34
515,0.5,3,4.5,17.91,16.4,67.42
525,0.5,3,4.5,17.92,16.41,67.278
535,0.5,3,4.31,17.71,16.39,66.23100000000001
545,0.5,3,4.4,17.81,16.41,66.765
555,0.5,3,4.38,17.77,16.39,66.425
565,0.5,3,4.45,17.89,16.43,67.105
575,0.5,3,4.49,17.93,16.44,67.28399999999999
585,0.5,3,4.57,18.05,16.48,68.118
595,0.5,3,4.69,18.16,16.46,68.669
605,0.5,3,4.68,18.17,16.49,68.668
615,0.5,3,4.75,18.24,16.48,69.038
625,0.5,3,4.93,18.46,16.52,70.454
635,0.5,3,4.96,18.49,16.53,70.829
645,0.5,3,5.26,18.7,16.44,71.028
655,0.5,3,4.8,18.3,16.49,68.342
665,0.5,3,4.85,18.39,16.53,69.082
675,0.5,3,4.55,18.12,16.57,67.618
685,0.5,3,4.56,18.08,16.52,67.243
695,0.5,3,4.41,17.97,16.56,66.703
705,0.5,3,4.42,17.96,16.54,66.968
