,Id1,Id2,Freq,Pin,Pout,Gain
15681,40.66,88.86,9,-13,8.996,21.996
15761,41.8,88.75,9,-13,9.133,22.133000000000003
15841,40.33,88.54,9,-13,9.023,22.023000000000003
15921,41.06,87.3,9,-13,9.154,22.154
16001,39.81,87.17,9,-13,9.12,22.12
16081,40.82,87.34,9,-13,9.14,22.14
16161,39.57,86.96,9,-13,9.062999999999999,22.063000000000002
16241,39.72,86.41,9,-13,9.092,22.092
16321,40.64,86.71,9,-13,9.064,22.064
16401,39.78,86.79,9,-13,8.908999999999999,21.909000000000002
16481,40.69,87.16,9,-13,8.992,21.991999999999997
16561,40.05,87.46,9,-13,8.96,21.96
16641,40.7,87.7,9,-13,9.092,22.092
16721,39.78,87.67,9,-13,8.918,21.918000000000003
16801,40.26,87.72,9,-13,8.937000000000001,21.936999999999998
16881,40.77,88.0,9,-13,9.014,22.014
16961,40.09,87.62,9,-13,8.87,21.87
17041,40.53,87.91,9,-13,8.837,21.837
17121,40.34,87.57,9,-13,8.743,21.743000000000002
17201,40.83,88.32,9,-13,8.918,21.918000000000003
17281,40.65,88.98,9,-13,8.949,21.949
17361,40.6,87.82,9,-13,8.96,21.96
17441,40.77,87.73,9,-13,9.107000000000001,22.107
17521,40.09,87.66,9,-13,9.074,22.074
17601,40.22,86.45,9,-13,9.264,22.264
17681,39.38,86.55,9,-13,9.161,22.160999999999998
17761,39.43,84.99,9,-13,9.349,22.349
17841,38.63,84.46,9,-13,9.459,22.459
17921,39.28,84.73,9,-13,9.451,22.451
18001,39.96,85.66,9,-13,9.502,22.502
18081,39.04,85.65,9,-13,9.419,22.419
18161,39.41,84.76,9,-13,9.493,22.493000000000002
18241,38.08,84.88,9,-13,9.351,22.351
18321,39.03,84.1,9,-13,9.501,22.500999999999998
18401,37.62,83.3,9,-13,9.261000000000001,22.261
18481,36.38,80.86,9,-13,9.192,22.191999999999997
18561,43.37,93.54,9,-13,8.789,21.789
18641,42.27,93.52,9,-13,8.845,21.845
18721,42.31,91.1,9,-13,8.889,21.889
