,Test,Die,VDD (V),,,,Id (mA),,Freq (GHz),Pin (dBm),,Pin (dBm),,Pout (dBm),Gain (dB),,,,,,,,,,,
693862,POW1,AD10,5,#,#,#,61.84,#,12,-1,#,-0.956312,#,15.167,16.167,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,64.57,#,0.5,0,#,0.01625,#,15.895,15.895,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,64.68,#,2,0,#,0.015313,#,15.992,15.992,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,64.14,#,6,0,#,0.033437,#,15.729,15.729,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,62.57,#,8,0,#,0.086,#,15.936,15.936,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,62.81,#,12,0,#,0.049688,#,15.753,15.753,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,65.95,#,0.5,1,#,1.02025,#,16.664,15.664,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,66.19,#,2,1,#,1.006313,#,16.648,15.648,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,65.48,#,6,1,#,1.043437,#,16.42,15.42,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,63.21,#,8,1,#,1.097,#,16.573,15.573,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,63.61,#,12,1,#,1.048688,#,16.3,15.3,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,67.28,#,0.5,2,#,2.00625,#,17.32,15.32,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,67.82,#,2,2,#,2.010313,#,17.206,15.206,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,66.88,#,6,2,#,2.044437,#,17,15,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,63.63,#,8,2,#,2.092,#,17.104,15.104,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,64.2,#,12,2,#,2.036688,#,16.779,14.779,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,68.6,#,0.5,3,#,2.99325,#,17.848,14.848,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,69.29,#,2,3,#,3.025313,#,17.603,14.603,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,67.96,#,6,3,#,3.032437,#,17.429,14.429,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,64.47,#,8,3,#,3.085,#,17.473,14.473,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,65.17,#,12,3,#,3.042688,#,17.105,14.105,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,69.77,#,0.5,4,#,4.00425,#,18.284,14.284,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,70.64,#,2,4,#,4.027313,#,17.887,13.887,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,69.19,#,6,4,#,4.039437,#,17.714,13.714,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,65.93,#,8,4,#,4.089,#,17.914,13.914,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,66.25,#,12,4,#,4.038688,#,17.402,13.402,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,70.76,#,0.5,5,#,5.00225,#,18.663,13.663,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,71.82,#,2,5,#,5.016313,#,18.069,13.069,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,70.47,#,6,5,#,5.052437,#,17.975,12.975,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,67.61,#,8,5,#,5.093,#,18.146,13.146,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,67.41,#,12,5,#,5.027688,#,17.632,12.632,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,71.51,#,0.5,6,#,6.00225,#,18.978,12.978,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,72.8,#,2,6,#,6.013313,#,18.221,12.221,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,71.59,#,6,6,#,6.051437,#,18.145,12.145,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,69.14,#,8,6,#,6.079,#,18.261,12.261,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD10,5,#,#,#,68.27,#,12,6,#,6.024688,#,17.809,11.809,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,58.51,#,0.5,-9,#,-9.04275,#,7.654,16.654,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,57.89,#,2,-9,#,-8.999687,#,8.044,17.044,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,57.97,#,6,-9,#,-9.042563,#,7.756,16.756,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,58.23,#,8,-9,#,-8.984,#,8.183,17.183,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,58.58,#,12,-9,#,-8.968312,#,9.591,18.591,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,58.78,#,0.5,-8,#,-7.98175,#,8.699,16.699,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,58.34,#,2,-8,#,-8.008687,#,9.039,17.039,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,58.37,#,6,-8,#,-8.048563,#,8.763,16.763,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,58.52,#,8,-8,#,-7.982,#,9.181,17.181,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,58.96,#,12,-8,#,-7.977312,#,10.539,18.539,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,59.06,#,0.5,-7,#,-6.98675,#,9.661,16.661,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,58.72,#,2,-7,#,-7.017687,#,9.998,16.998,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,58.72,#,6,-7,#,-7.054563,#,9.73,16.73,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,58.78,#,8,-7,#,-6.995,#,10.139,17.139,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,59.27,#,12,-7,#,-6.978312,#,11.459,18.459,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,59.44,#,0.5,-6,#,-5.96875,#,10.64,16.64,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,59.14,#,2,-6,#,-6.018687,#,10.944,16.944,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,59.14,#,6,-6,#,-6.056563,#,10.701,16.701,#,#,#,#,#,#,#,#,#,#,#
