,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain
4,18,1,-2.54,17.26,20.81
14,18,1,-2.58,17.16,20.74
24,18,1,-2.66,17.17,20.83
34,18,1,-2.58,17.08,20.67
44,18,1,-2.62,17.14,20.76
54,18,1,-2.54,17.1,20.65
64,18,1,-2.57,17.06,20.64
74,18,1,-2.56,17.09,20.65
84,18,1,-2.72,16.98,20.7
94,18,1,-2.83,17.01,20.84
104,18,1,-2.64,16.91,20.55
114,18,1,-2.9,16.88,20.79
124,18,1,-2.93,16.84,20.77
134,18,1,-2.63,16.93,20.56
144,18,1,-2.97,16.91,20.88
154,18,1,-2.99,16.76,20.76
164,18,1,-2.94,16.85,20.8
174,18,1,-2.97,16.86,20.84
184,18,1,-3.02,16.75,20.78
194,18,1,-2.92,16.81,20.73
204,18,1,-2.85,16.78,20.64
214,18,1,-2.86,16.84,20.71
224,18,1,-2.76,16.9,20.66
234,18,1,-2.65,16.82,20.47
244,18,1,-2.7,16.92,20.63
254,18,1,-2.97,16.82,20.8
264,18,1,-2.65,16.92,20.57
274,18,1,-2.86,16.92,20.78
284,18,1,-2.68,16.86,20.54
294,18,1,-3.03,16.73,20.76
304,18,1,-2.78,16.85,20.64
314,18,1,-2.83,16.93,20.77
324,18,1,-2.91,16.96,20.88
334,18,1,-2.81,16.96,20.77
344,18,1,-2.75,17.29,21.05
354,18,1,-2.76,17.1,20.86
364,18,1,-2.89,17.06,20.95
374,18,1,-2.75,17.08,20.83
384,18,1,-2.95,16.92,20.88
394,18,1,-2.8,16.91,20.71
404,18,1,-2.97,16.83,20.81
414,18,1,-2.87,16.84,20.72
424,18,1,-2.98,16.77,20.76
434,18,1,-3.15,16.72,20.88
444,18,1,-2.82,16.78,20.61
454,18,1,-3.01,16.79,20.81
464,18,1,-3.16,16.72,20.88
474,18,1,-3.15,16.72,20.87
484,18,1,-3.11,16.74,20.86
494,18,1,-3.17,16.69,20.86
504,18,1,-3.07,16.72,20.8
514,18,1,-2.91,16.73,20.65
524,18,1,-2.91,16.83,20.74
534,18,1,-2.86,16.79,20.65
544,18,1,-2.98,16.76,20.74
554,18,1,-2.8,16.8,20.6
564,18,1,-2.88,16.78,20.66
574,18,1,-2.93,16.79,20.73
584,18,1,-2.72,16.86,20.58
594,18,1,-2.75,16.81,20.57
604,18,1,-2.74,16.75,20.49
614,18,1,-2.91,16.77,20.68
