,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain
7,12,3,-1.77,17.49,22.27
17,12,3,-1.84,17.42,22.27
27,12,3,-1.98,17.43,22.41
37,12,3,-1.97,17.34,22.32
47,12,3,-2.03,17.4,22.43
57,12,3,-1.95,17.37,22.33
67,12,3,-2.14,17.33,22.48
77,12,3,-2.0,17.34,22.35
87,12,3,-2.08,17.2,22.28
97,12,3,-2.25,17.17,22.43
107,12,3,-2.12,17.17,22.3
117,12,3,-2.35,17.06,22.41
127,12,3,-2.31,17.03,22.35
137,12,3,-2.07,17.15,22.23
147,12,3,-2.47,17.08,22.56
157,12,3,-2.39,16.93,22.33
167,12,3,-2.36,17.02,22.38
177,12,3,-2.39,16.99,22.38
187,12,3,-2.43,16.97,22.4
197,12,3,-2.36,16.99,22.36
207,12,3,-2.28,16.99,22.28
217,12,3,-2.18,17.01,22.2
227,12,3,-2.18,17.1,22.29
237,12,3,-2.17,17.06,22.24
247,12,3,-2.16,17.12,22.29
257,12,3,-2.5,17.01,22.52
267,12,3,-2.28,17.14,22.43
277,12,3,-2.36,17.16,22.52
287,12,3,-2.3,17.1,22.4
297,12,3,-2.71,16.93,22.65
307,12,3,-2.5,17.14,22.65
317,12,3,-2.47,17.2,22.67
327,12,3,-2.53,17.25,22.78
337,12,3,-2.42,17.29,22.71
347,12,3,-1.74,17.45,22.19
357,12,3,-1.91,17.34,22.25
367,12,3,-2.1,17.32,22.43
377,12,3,-2.05,17.3,22.35
387,12,3,-2.4,17.12,22.53
397,12,3,-2.21,17.13,22.35
407,12,3,-2.47,17.0,22.47
417,12,3,-2.34,17.03,22.38
427,12,3,-2.49,16.95,22.44
437,12,3,-2.7,16.91,22.61
447,12,3,-2.45,16.95,22.41
457,12,3,-2.56,16.96,22.52
467,12,3,-2.71,16.9,22.61
477,12,3,-2.69,16.9,22.6
487,12,3,-2.69,16.9,22.6
497,12,3,-2.72,16.85,22.58
507,12,3,-2.63,16.89,22.53
517,12,3,-2.42,16.94,22.36
527,12,3,-2.51,17.02,22.53
537,12,3,-2.39,17.0,22.4
547,12,3,-2.55,16.97,22.53
557,12,3,-2.41,16.99,22.41
567,12,3,-2.47,16.98,22.45
577,12,3,-2.51,17.0,22.52
587,12,3,-2.29,17.07,22.36
597,12,3,-2.46,17.04,22.5
607,12,3,-2.45,17.0,22.46
617,12,3,-2.54,17.02,22.57
627,12,3,-2.55,17.0,22.55
637,12,3,-2.45,17.06,22.51
647,12,3,-2.5,17.09,22.6
657,12,3,-2.28,17.14,22.42
667,12,3,-2.42,17.13,22.55
677,12,3,-2.39,17.18,22.58
687,12,3,-2.33,17.23,22.57
697,12,3,-2.26,17.17,22.44
707,12,3,-2.0,17.25,22.26
717,12,3,-1.89,17.32,22.21
727,12,3,-1.32,17.56,21.89
737,12,3,-1.44,17.52,21.97
747,12,3,-1.61,17.36,21.98
757,12,3,-1.98,17.32,22.31
767,12,3,-2.14,17.21,22.36
777,12,3,-2.6,16.96,22.57
787,12,3,-2.67,16.89,22.57
797,12,3,-2.68,16.93,22.62
807,12,3,-2.68,16.91,22.6
