,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain
6,9,3,-1.95,17.07,22.03
16,9,3,-2.02,17.02,22.04
26,9,3,-2.14,17.01,22.15
36,9,3,-2.15,16.95,22.1
46,9,3,-2.16,16.99,22.16
56,9,3,-2.1,16.97,22.07
66,9,3,-2.26,16.95,22.22
76,9,3,-2.17,16.94,22.11
86,9,3,-2.26,16.79,22.05
96,9,3,-2.44,16.74,22.18
106,9,3,-2.29,16.75,22.05
116,9,3,-2.56,16.62,22.18
126,9,3,-2.5,16.6,22.11
136,9,3,-2.3,16.73,22.04
146,9,3,-2.68,16.66,22.34
156,9,3,-2.61,16.54,22.16
166,9,3,-2.58,16.59,22.18
176,9,3,-2.63,16.56,22.2
186,9,3,-2.64,16.57,22.22
196,9,3,-2.58,16.6,22.18
206,9,3,-2.52,16.59,22.12
216,9,3,-2.4,16.59,21.99
226,9,3,-2.37,16.69,22.07
236,9,3,-2.23,16.67,21.9
246,9,3,-2.3,16.71,22.02
256,9,3,-2.71,16.61,22.32
266,9,3,-2.46,16.77,22.24
276,9,3,-2.52,16.8,22.32
286,9,3,-2.49,16.75,22.24
296,9,3,-2.87,16.62,22.49
306,9,3,-2.63,16.81,22.44
316,9,3,-2.62,16.87,22.5
326,9,3,-2.64,16.92,22.57
336,9,3,-2.54,16.97,22.52
346,9,3,-1.95,16.96,21.92
356,9,3,-2.11,16.92,22.04
366,9,3,-2.3,16.88,22.19
376,9,3,-2.23,16.89,22.13
386,9,3,-2.59,16.72,22.31
396,9,3,-2.4,16.72,22.12
406,9,3,-2.65,16.59,22.25
416,9,3,-2.54,16.62,22.17
426,9,3,-2.7,16.55,22.25
436,9,3,-2.92,16.49,22.41
446,9,3,-2.64,16.55,22.19
456,9,3,-2.78,16.53,22.31
466,9,3,-2.93,16.47,22.4
476,9,3,-2.91,16.47,22.39
486,9,3,-2.92,16.46,22.39
496,9,3,-2.97,16.43,22.4
506,9,3,-2.85,16.47,22.33
516,9,3,-2.64,16.53,22.17
526,9,3,-2.7,16.61,22.31
536,9,3,-2.58,16.61,22.19
546,9,3,-2.74,16.58,22.33
556,9,3,-2.59,16.61,22.2
566,9,3,-2.64,16.6,22.25
576,9,3,-2.69,16.62,22.31
586,9,3,-2.43,16.7,22.13
596,9,3,-2.68,16.67,22.35
606,9,3,-2.61,16.66,22.28
616,9,3,-2.72,16.67,22.4
626,9,3,-2.71,16.66,22.37
636,9,3,-2.61,16.73,22.35
646,9,3,-2.65,16.75,22.4
656,9,3,-2.42,16.8,22.23
666,9,3,-2.53,16.79,22.33
676,9,3,-2.52,16.87,22.39
686,9,3,-2.45,16.91,22.36
696,9,3,-2.38,16.87,22.25
706,9,3,-2.07,16.96,22.04
716,9,3,-1.96,17.01,21.98
726,9,3,-1.61,17.02,21.63
736,9,3,-1.63,17.0,21.64
746,9,3,-1.8,16.86,21.66
756,9,3,-2.22,16.83,22.06
766,9,3,-2.35,16.74,22.1
776,9,3,-2.84,16.5,22.35
786,9,3,-2.92,16.44,22.37
796,9,3,-2.89,16.51,22.4
806,9,3,-2.91,16.48,22.4
816,9,3,-2.44,16.46,21.9
826,9,3,-2.86,16.47,22.34
836,9,3,-3.03,16.39,22.43
846,9,3,-2.94,16.48,22.42
856,9,3,-2.93,16.43,22.36
866,9,3,-3.0,16.48,22.48
876,9,3,-2.85,16.51,22.36
886,9,3,-2.88,16.41,22.3
896,9,3,-3.03,16.43,22.46
906,9,3,-2.86,16.47,22.34
916,9,3,-3.18,16.34,22.52
926,9,3,-3.06,16.33,22.4
936,9,3,-3.15,16.37,22.53
946,9,3,-2.86,16.54,22.41
956,9,3,-2.86,16.6,22.46
