,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain
8,15,3,-1.62,18.0,22.63
18,15,3,-1.63,17.93,22.56
28,15,3,-1.77,17.9,22.68
38,15,3,-1.69,17.85,22.54
48,15,3,-1.77,17.88,22.66
58,15,3,-1.66,17.87,22.54
68,15,3,-1.82,17.83,22.66
78,15,3,-1.71,17.83,22.55
88,15,3,-1.75,17.72,22.47
98,15,3,-1.98,17.7,22.68
108,15,3,-1.83,17.71,22.55
118,15,3,-2.05,17.6,22.65
128,15,3,-1.97,17.59,22.56
138,15,3,-1.8,17.65,22.45
148,15,3,-2.09,17.64,22.74
158,15,3,-2.01,17.48,22.49
168,15,3,-1.94,17.55,22.5
178,15,3,-2.02,17.56,22.59
188,15,3,-2.1,17.5,22.61
198,15,3,-1.98,17.53,22.51
208,15,3,-1.9,17.5,22.4
218,15,3,-1.86,17.54,22.4
228,15,3,-1.89,17.65,22.54
238,15,3,-1.88,17.55,22.44
248,15,3,-1.84,17.64,22.48
258,15,3,-2.15,17.54,22.7
268,15,3,-1.92,17.66,22.58
278,15,3,-2.02,17.65,22.67
288,15,3,-1.88,17.59,22.48
298,15,3,-2.24,17.45,22.69
308,15,3,-2.09,17.62,22.72
318,15,3,-2.04,17.7,22.75
328,15,3,-2.12,17.72,22.84
338,15,3,-1.97,17.76,22.73
348,15,3,-1.67,17.99,22.67
358,15,3,-1.75,17.85,22.6
368,15,3,-1.92,17.82,22.74
378,15,3,-1.82,17.81,22.64
388,15,3,-2.1,17.63,22.74
398,15,3,-1.91,17.65,22.57
408,15,3,-2.14,17.53,22.68
418,15,3,-2.0,17.57,22.57
428,15,3,-2.16,17.49,22.66
438,15,3,-2.32,17.43,22.75
448,15,3,-2.12,17.5,22.62
458,15,3,-2.19,17.5,22.69
468,15,3,-2.35,17.46,22.81
478,15,3,-2.31,17.46,22.77
488,15,3,-2.28,17.47,22.76
498,15,3,-2.36,17.41,22.78
508,15,3,-2.25,17.44,22.7
518,15,3,-2.05,17.49,22.54
528,15,3,-2.13,17.54,22.67
538,15,3,-2.01,17.52,22.54
548,15,3,-2.18,17.48,22.66
558,15,3,-2.04,17.52,22.56
568,15,3,-2.06,17.52,22.58
578,15,3,-2.09,17.52,22.61
588,15,3,-1.91,17.59,22.5
598,15,3,-2.19,17.52,22.71
608,15,3,-2.0,17.52,22.52
618,15,3,-2.12,17.51,22.64
628,15,3,-2.14,17.47,22.62
638,15,3,-2.01,17.58,22.59
648,15,3,-2.1,17.58,22.68
658,15,3,-1.9,17.62,22.53
668,15,3,-2.09,17.59,22.68
678,15,3,-1.99,17.66,22.65
688,15,3,-2.0,17.68,22.68
698,15,3,-1.96,17.63,22.59
708,15,3,-1.76,17.68,22.44
718,15,3,-1.75,17.69,22.44
728,15,3,-1.36,18.12,22.48
738,15,3,-1.45,18.04,22.5
748,15,3,-1.63,17.9,22.54
758,15,3,-1.91,17.85,22.76
768,15,3,-2.07,17.74,22.82
778,15,3,-2.34,17.49,22.84
788,15,3,-2.31,17.46,22.78
798,15,3,-2.36,17.45,22.82
808,15,3,-2.35,17.45,22.8
818,15,3,-1.78,17.38,22.17
828,15,3,-2.17,17.38,22.56
838,15,3,-2.46,17.33,22.79
848,15,3,-2.35,17.39,22.74
858,15,3,-2.34,17.34,22.69
868,15,3,-2.41,17.38,22.8
878,15,3,-2.23,17.43,22.67
888,15,3,-2.25,17.31,22.57
898,15,3,-2.42,17.33,22.75
908,15,3,-2.21,17.38,22.59
918,15,3,-2.54,17.25,22.8
928,15,3,-2.37,17.27,22.64
938,15,3,-2.47,17.27,22.74
948,15,3,-2.24,17.43,22.67
958,15,3,-2.29,17.46,22.75
