,Id1,Id2,Freq,Pin,Pout,Gain
9923,39.48,84.81,15,-13,9.798,22.798000000000002
10003,38.59,85.22,15,-13,9.728,22.728
10083,39.78,86.18,15,-13,9.75,22.75
10163,39.6,86.87,15,-13,9.77,22.77
10243,39.9,86.69,15,-13,9.796,22.796
10323,39.17,86.77,15,-13,9.742,22.741999999999997
10403,39.83,86.46,15,-13,9.689,22.689
10483,42.75,94.34,15,-13,9.677,22.677
10563,43.03,94.75,15,-13,9.601,22.601
10643,42.49,92.86,15,-13,9.512,22.511999999999997
10723,42.2,93.03,15,-13,9.647,22.647
10803,41.59,90.98,15,-13,9.729,22.729
10883,41.95,91.04,15,-13,9.732000000000001,22.732
10963,41.46,91.05,15,-13,9.735,22.735
11043,41.78,89.79,15,-13,9.892999999999999,22.893
11123,41.0,89.58,15,-13,9.791,22.791
11203,41.61,89.35,15,-13,9.902000000000001,22.901999999999997
11283,40.43,89.38,15,-13,9.652999999999999,22.653000000000002
11363,40.48,88.13,15,-13,9.647,22.647
11443,40.88,88.34,15,-13,9.655,22.655
11523,40.31,88.34,15,-13,9.657,22.656999999999996
11603,40.97,88.06,15,-13,9.82,22.82
11683,40.25,88.3,15,-13,9.706,22.706
11763,40.96,88.26,15,-13,9.841000000000001,22.840999999999998
11843,40.03,87.74,15,-13,9.666,22.666
11923,40.13,87.82,15,-13,9.772,22.772
12003,40.68,87.7,15,-13,9.767000000000001,22.767
12083,39.85,87.46,15,-13,9.718,22.718000000000004
12163,40.24,87.28,15,-13,9.707,22.706999999999997
12243,39.31,87.15,15,-13,9.62,22.62
12323,40.06,86.47,15,-13,9.774,22.774
12403,38.8,86.52,15,-13,9.59,22.59
12483,38.79,85.59,15,-13,9.636000000000001,22.636
12563,39.55,84.86,15,-13,9.529,22.529
12643,38.15,85.0,15,-13,9.552999999999999,22.553
12723,42.83,94.65,15,-13,9.512,22.511999999999997
12803,42.13,92.41,15,-13,9.542,22.541999999999998
12883,42.77,92.25,15,-13,9.759,22.759
12963,42.01,91.41,15,-13,9.631,22.631
13043,42.32,90.61,15,-13,9.751,22.750999999999998
13123,41.29,90.68,15,-13,9.726,22.726
13203,41.77,90.18,15,-13,9.787,22.787
13283,40.3,89.27,15,-13,9.669,22.669
13363,40.69,88.53,15,-13,9.567,22.566999999999997
13443,41.61,89.17,15,-13,9.69,22.69
13523,40.73,89.17,15,-13,9.631,22.631
13603,41.06,88.46,15,-13,9.749,22.749000000000002
13683,40.31,88.66,15,-13,9.709,22.709
13763,40.95,88.4,15,-13,9.801,22.801
13843,40.0,88.36,15,-13,9.724,22.724
13923,40.35,88.12,15,-13,9.696,22.695999999999998
14003,41.2,88.92,15,-13,9.698,22.698
14083,40.71,89.3,15,-13,9.644,22.644000000000002
14163,41.07,88.86,15,-13,9.73,22.73
14243,40.38,88.73,15,-13,9.62,22.62
14323,40.83,88.67,15,-13,9.684,22.684
14403,40.01,88.91,15,-13,9.581,22.581
14483,40.19,86.9,15,-13,9.749,22.749000000000002
14563,40.87,88.08,15,-13,9.658999999999999,22.659000000000002
14643,40.08,88.48,15,-13,9.578,22.578000000000003
14723,40.86,88.33,15,-13,9.705,22.705
14803,39.94,88.0,15,-13,9.592,22.592
14883,40.39,87.27,15,-13,9.689,22.689
14963,39.36,87.2,15,-13,9.683,22.683000000000003
15043,39.24,85.15,15,-13,9.687000000000001,22.686999999999998
15123,39.87,86.15,15,-13,9.761000000000001,22.761
15203,38.61,85.52,15,-13,9.631,22.631
15283,39.11,84.31,15,-13,9.701,22.701
15363,37.92,83.61,15,-13,9.637,22.636999999999997
15443,38.61,83.46,15,-13,9.687999999999999,22.688000000000002
