,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain,Id
2,6.0,1,0.1,15.79,16.69,64.274
12,6.0,1,-0.18,15.57,16.75,63.153
22,6.0,1,-0.07,15.66,16.73,63.745
32,6.0,1,-0.12,15.6,16.72,63.931000000000004
42,6.0,1,-0.06,15.68,16.75,63.356
52,6.0,1,0.1,15.75,16.64,64.032
62,6.0,1,-0.05,15.63,16.69,63.288000000000004
72,6.0,1,-0.12,15.56,16.69,63.31
82,6.0,1,-0.25,15.43,16.69,63.013000000000005
92,6.0,1,-0.03,15.52,16.56,63.227
102,6.0,1,-0.05,15.58,16.63,63.586000000000006
112,6.0,1,-0.06,15.56,16.62,63.54600000000001
122,6.0,1,-0.39,15.25,16.64,63.038999999999994
132,6.0,1,-1.09,14.53,16.63,61.39
142,6.0,1,-0.21,15.38,16.6,62.833999999999996
152,6.0,1,-0.28,15.39,16.67,63.09
162,6.0,1,-0.29,15.34,16.63,62.994
172,6.0,1,-0.19,15.37,16.57,63.11600000000001
182,6.0,1,-0.01,15.61,16.63,63.632
192,6.0,1,-0.04,15.5,16.55,63.498999999999995
202,6.0,1,-0.02,15.61,16.64,63.28
212,6.0,1,0.01,15.64,16.63,63.607
222,6.0,1,-0.11,15.52,16.64,62.747
232,6.0,1,-0.3,15.21,16.52,62.901
242,6.0,1,0.03,15.77,16.73,63.825
252,6.0,1,0.05,15.82,16.76,64.362
262,6.0,1,0.06,15.87,16.81,64.34899999999999
272,6.0,1,0.06,15.84,16.77,63.983000000000004
282,6.0,1,0.09,15.89,16.8,63.998999999999995
292,6.0,1,0.08,15.85,16.76,63.678999999999995
302,6.0,1,0.2,15.92,16.71,64.76100000000001
312,6.0,1,0.2,15.91,16.71,64.71300000000001
322,6.0,1,0.11,15.88,16.77,64.512
332,6.0,1,0.11,15.75,16.64,63.876000000000005
342,6.0,1,0.18,15.81,16.62,63.893
352,6.0,1,-0.17,15.58,16.75,63.173
362,6.0,1,-0.36,15.45,16.81,63.144
372,6.0,1,-0.33,15.45,16.79,63.31399999999999
382,6.0,1,-0.24,15.44,16.69,63.63
392,6.0,1,-0.27,15.38,16.66,62.943999999999996
402,6.0,1,-0.4,15.25,16.65,62.339
412,6.0,1,-0.49,15.16,16.66,62.354
422,6.0,1,-0.47,15.22,16.69,62.536
432,6.0,1,-0.34,15.3,16.64,62.496
442,6.0,1,-0.29,15.38,16.68,63.053999999999995
452,6.0,1,-0.3,15.33,16.64,62.923
462,6.0,1,-0.32,15.33,16.66,62.657
472,6.0,1,-0.34,15.31,16.65,62.736999999999995
482,6.0,1,-0.21,15.46,16.68,63.004
492,6.0,1,-0.24,15.41,16.65,62.958
502,6.0,1,-0.35,15.27,16.62,62.383
512,6.0,1,-0.16,15.48,16.64,63.177
522,6.0,1,-0.16,15.49,16.66,63.019
532,6.0,1,-0.32,15.28,16.6,62.641999999999996
542,6.0,1,-0.23,15.4,16.63,62.788000000000004
552,6.0,1,-0.27,15.35,16.63,62.472
562,6.0,1,-0.21,15.47,16.68,63.055
572,6.0,1,-0.19,15.5,16.69,62.957
582,6.0,1,-0.32,15.36,16.68,63.136
592,6.0,1,0.02,15.78,16.75,63.506
602,6.0,1,-0.01,15.76,16.77,63.528
612,6.0,1,0.02,15.79,16.77,63.6
622,6.0,1,0.11,15.93,16.82,64.21
632,6.0,1,0.15,15.96,16.8,64.742
642,6.0,1,0.14,15.74,16.6,64.336
652,6.0,1,-0.12,15.48,16.61,62.918
662,6.0,1,0.0,15.73,16.73,64.217
672,6.0,1,-0.27,15.46,16.73,63.323
682,6.0,1,-0.42,15.25,16.67,62.54600000000001
692,6.0,1,-0.45,15.29,16.74,62.945
702,6.0,1,-0.23,15.44,16.67,63.45
712,6.0,1,-0.57,15.22,16.79,62.551
722,6.0,1,-0.55,15.22,16.78,62.81399999999999
732,6.0,1,-0.56,15.22,16.78,62.381
742,6.0,1,-0.37,15.38,16.75,63.071999999999996
752,6.0,1,-0.46,15.33,16.79,62.625
762,6.0,1,-0.49,15.23,16.72,62.278
772,6.0,1,-0.51,15.29,16.81,62.661
782,6.0,1,-1.18,14.57,16.76,61.476000000000006
792,6.0,1,-0.39,15.35,16.75,62.573
802,6.0,1,-0.48,15.24,16.72,62.36
812,6.0,1,-0.41,15.27,16.69,62.184
822,6.0,1,-0.38,15.32,16.7,62.537
832,6.0,1,-0.37,15.31,16.69,62.41
842,6.0,1,-0.3,15.36,16.67,62.806000000000004
852,6.0,1,-0.31,15.35,16.67,62.335
862,6.0,1,-0.46,15.18,16.64,62.405
872,6.0,1,-0.15,15.49,16.65,63.188
882,6.0,1,-0.36,15.33,16.7,62.602
892,6.0,1,-0.21,15.36,16.57,63.253
