,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain,Id
1211,2.0,1,-0.1,15.76,16.86,64.128
1221,2.0,1,0.02,15.85,16.83,64.203
1231,2.0,1,0.09,15.82,16.72,64.59100000000001
1241,2.0,1,0.05,15.82,16.76,64.49
1251,2.0,1,0.01,15.74,16.73,64.182
1261,2.0,1,-0.2,15.59,16.79,63.468
1271,2.0,1,-0.09,15.69,16.78,63.489
1281,2.0,1,-0.18,15.63,16.82,63.793
1291,2.0,1,-0.2,15.61,16.82,63.717
1301,2.0,1,-0.21,15.66,16.87,63.802
1311,2.0,1,-0.2,15.64,16.84,63.973
1321,2.0,1,0.26,16.13,16.87,65.433
1331,2.0,1,0.04,16.02,16.98,64.684
1341,2.0,1,0.09,16.03,16.94,65.183
1351,2.0,1,-0.07,15.91,16.99,64.252
1361,2.0,1,-0.13,15.77,16.91,64.316
1371,2.0,1,-0.23,15.69,16.92,63.50899999999999
1381,2.0,1,0.02,15.98,16.96,64.992
1391,2.0,1,-0.19,15.77,16.96,63.769
1401,2.0,1,-0.2,15.7,16.91,63.924
1411,2.0,1,-0.31,15.6,16.92,63.957
1421,2.0,1,-0.03,15.78,16.82,63.986000000000004
1431,2.0,1,-0.13,15.76,16.89,64.117
1441,2.0,1,-0.11,15.76,16.88,64.26100000000001
1451,2.0,1,0.0,15.88,16.88,64.585
1461,2.0,1,0.03,15.87,16.84,64.43
1471,2.0,1,0.03,15.84,16.81,64.23899999999999
1481,2.0,1,0.02,15.83,16.81,64.687
1491,2.0,1,0.0,15.81,16.81,64.208
1501,2.0,1,0.06,15.83,16.77,64.524
1511,2.0,1,-0.13,15.65,16.79,64.196
1521,2.0,1,-0.27,15.48,16.75,63.038000000000004
1531,2.0,1,-0.12,15.63,16.76,64.097
1541,2.0,1,-0.02,15.77,16.8,64.267
1551,2.0,1,-0.01,15.8,16.82,64.618
1561,2.0,1,-0.03,15.75,16.79,64.44
1571,2.0,1,-0.05,15.78,16.84,64.137
1581,2.0,1,-0.07,15.8,16.88,64.074
1591,2.0,1,-0.12,15.8,16.92,64.41199999999999
1601,2.0,1,-0.05,15.87,16.92,64.546
1611,2.0,1,0.01,15.96,16.94,65.118
1621,2.0,1,-0.05,15.9,16.96,64.444
1631,2.0,1,0.23,16.08,16.85,65.12899999999999
1641,2.0,1,0.11,16.09,16.98,64.696
1651,2.0,1,-0.3,15.76,17.07,64.13
1661,2.0,1,-0.05,15.95,17.0,64.795
1671,2.0,1,-0.18,15.83,17.01,63.705
1681,2.0,1,-0.14,15.84,16.99,64.17
1691,2.0,1,-0.13,15.83,16.97,63.88399999999999
1701,2.0,1,-0.08,15.88,16.96,64.367
1711,2.0,1,-0.13,15.83,16.96,64.406
1721,2.0,1,-0.12,15.79,16.91,64.31
1731,2.0,1,-0.22,15.69,16.91,63.731
1741,2.0,1,-0.22,15.62,16.85,64.01899999999999
1751,2.0,1,-0.19,15.62,16.82,63.845
1761,2.0,1,-0.29,15.47,16.77,63.222
1771,2.0,1,-0.32,15.51,16.84,63.798
1781,2.0,1,-0.29,15.55,16.85,63.692
1791,2.0,1,-0.24,15.59,16.84,63.452
1801,2.0,1,-0.11,15.68,16.8,64.006
1811,2.0,1,-0.01,15.69,16.71,63.933
1821,2.0,1,0.08,15.75,16.66,64.248
1831,2.0,1,-0.09,15.7,16.79,63.851000000000006
1841,2.0,1,-0.09,15.71,16.8,64.01100000000001
1851,2.0,1,-0.06,15.68,16.75,63.716
1861,2.0,1,-0.15,15.66,16.81,64.17
1871,2.0,1,-0.2,15.68,16.88,64.166
1881,2.0,1,-0.27,15.51,16.78,63.38399999999999
1891,2.0,1,0.06,15.9,16.83,64.211
1901,2.0,1,0.02,15.95,16.92,64.99
1911,2.0,1,-0.02,15.93,16.95,64.925
1921,2.0,1,0.07,15.99,16.92,64.714
1931,2.0,1,0.03,16.01,16.98,64.92399999999999
1941,2.0,1,0.05,15.99,16.94,64.62100000000001
1951,2.0,1,0.4,16.3,16.89,65.623
1961,2.0,1,0.13,16.07,16.94,65.142
1971,2.0,1,0.0,15.99,16.98,64.858
