,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain,Id
8,8.0,3,3.8,17.82,17.02,65.642
18,8.0,3,3.21,17.4,17.18,63.935
28,8.0,3,3.47,17.52,17.04,64.79899999999999
38,8.0,3,3.57,17.65,17.07,65.293
48,8.0,3,3.47,17.52,17.05,64.497
58,8.0,3,3.27,17.31,17.03,64.51899999999999
68,8.0,3,3.47,17.47,16.99,63.986999999999995
78,8.0,3,3.43,17.41,16.97,63.871
88,8.0,3,3.35,17.32,16.97,63.536
98,8.0,3,3.5,17.38,16.88,63.923
108,8.0,3,3.48,17.45,16.96,64.115
118,8.0,3,3.51,17.46,16.95,64.104
128,8.0,3,3.19,17.15,16.95,63.126999999999995
138,8.0,3,2.7,16.64,16.93,61.18899999999999
148,8.0,3,3.3,17.24,16.93,63.117
158,8.0,3,3.21,17.23,17.01,63.145
168,8.0,3,3.29,17.24,16.95,63.24
178,8.0,3,3.37,17.27,16.89,63.486000000000004
188,8.0,3,3.44,17.41,16.96,64.14
198,8.0,3,3.49,17.35,16.86,64.314
208,8.0,3,3.45,17.42,16.96,63.865
218,8.0,3,3.49,17.45,16.95,64.182
228,8.0,3,3.37,17.35,16.98,63.42100000000001
238,8.0,3,3.05,17.07,17.02,63.31100000000001
248,8.0,3,3.54,17.61,17.06,64.875
258,8.0,3,3.55,17.65,17.09,65.12100000000001
268,8.0,3,3.52,17.68,17.16,65.139
278,8.0,3,3.54,17.66,17.12,64.89399999999999
288,8.0,3,3.53,17.7,17.16,64.9
298,8.0,3,3.55,17.67,17.12,64.669
308,8.0,3,4.05,18.03,16.97,66.30199999999999
318,8.0,3,3.89,17.95,17.05,65.895
328,8.0,3,3.71,17.82,17.11,65.625
338,8.0,3,3.56,17.59,17.02,64.804
348,8.0,3,3.35,17.35,16.99,64.314
358,8.0,3,3.39,17.47,17.07,63.886
368,8.0,3,3.21,17.36,17.15,63.674
378,8.0,3,3.2,17.25,17.04,63.641000000000005
388,8.0,3,3.21,17.22,17.0,64.057
398,8.0,3,3.32,17.23,16.91,63.673
408,8.0,3,3.16,17.16,16.99,62.633
418,8.0,3,3.12,17.1,16.98,62.582
428,8.0,3,3.12,17.15,17.03,62.71
438,8.0,3,3.29,17.25,16.96,63.028999999999996
448,8.0,3,3.25,17.28,17.02,63.284
458,8.0,3,3.3,17.27,16.96,63.299
468,8.0,3,3.2,17.21,17.0,62.898999999999994
478,8.0,3,3.23,17.21,16.97,63.048
488,8.0,3,3.29,17.31,17.02,63.321000000000005
498,8.0,3,3.3,17.29,16.99,63.265
508,8.0,3,3.24,17.18,16.94,62.75899999999999
518,8.0,3,3.35,17.32,16.96,63.563
528,8.0,3,3.34,17.34,17.0,63.413000000000004
538,8.0,3,3.21,17.14,16.93,62.849
548,8.0,3,3.26,17.24,16.98,63.146
558,8.0,3,3.22,17.2,16.97,62.856
568,8.0,3,3.26,17.3,17.03,63.324
578,8.0,3,3.29,17.32,17.02,63.428000000000004
588,8.0,3,3.38,17.36,16.98,64.168
598,8.0,3,3.44,17.53,17.09,64.24600000000001
608,8.0,3,3.4,17.53,17.12,64.192
618,8.0,3,3.45,17.58,17.12,64.378
628,8.0,3,3.55,17.75,17.19,65.127
638,8.0,3,3.62,17.79,17.17,65.51899999999999
648,8.0,3,3.71,17.61,16.9,65.351
658,8.0,3,3.43,17.38,16.95,63.729
668,8.0,3,3.5,17.55,17.05,64.655
678,8.0,3,3.31,17.37,17.06,63.622
688,8.0,3,3.17,17.13,16.96,63.055
698,8.0,3,3.2,17.21,17.01,63.224
708,8.0,3,3.02,17.07,17.05,63.323
718,8.0,3,3.0,17.13,17.13,62.672
728,8.0,3,3.01,17.12,17.11,62.869
738,8.0,3,2.97,17.12,17.14,62.46
748,8.0,3,3.16,17.25,17.08,63.348
758,8.0,3,3.06,17.19,17.13,62.787
768,8.0,3,3.12,17.15,17.03,62.74
778,8.0,3,3.02,17.16,17.14,62.726000000000006
788,8.0,3,2.56,16.67,17.1,61.184
798,8.0,3,3.08,17.17,17.09,62.695
808,8.0,3,3.04,17.1,17.05,62.418
818,8.0,3,3.11,17.14,17.02,62.522
828,8.0,3,3.15,17.19,17.04,62.727
838,8.0,3,3.16,17.19,17.03,62.707
848,8.0,3,3.2,17.2,17.0,63.078
858,8.0,3,3.17,17.19,17.01,62.692
868,8.0,3,3.15,17.06,16.91,62.92
878,8.0,3,3.23,17.19,16.95,63.516000000000005
888,8.0,3,3.16,17.2,17.03,62.901
898,8.0,3,3.29,17.25,16.95,63.955
908,8.0,3,3.48,17.46,16.97,64.183
918,8.0,3,3.44,17.6,17.15,64.47399999999999
928,8.0,3,3.27,17.41,17.14,63.643
938,8.0,3,3.63,17.75,17.11,65.094
948,8.0,3,3.62,17.71,17.08,64.884
958,8.0,3,3.55,17.66,17.11,64.291
968,8.0,3,3.7,17.83,17.13,65.375
978,8.0,3,3.7,17.86,17.16,65.309
988,8.0,3,3.76,17.87,17.1,65.381
998,8.0,3,3.57,17.61,17.03,64.366
1008,8.0,3,3.63,17.58,16.95,64.37899999999999
1018,8.0,3,3.62,17.55,16.93,64.242
1028,8.0,3,3.58,17.46,16.87,64.584
1038,8.0,3,3.54,17.5,16.95,64.309
1048,8.0,3,3.98,17.87,16.89,65.76899999999999
1058,8.0,3,3.92,17.81,16.89,65.821
1068,8.0,3,3.84,17.8,16.95,65.766
1078,8.0,3,3.77,17.71,16.93,64.905
1088,8.0,3,4.14,17.91,16.77,66.52199999999999
1098,8.0,3,4.0,17.76,16.76,65.84100000000001
1108,8.0,3,3.66,17.59,16.92,64.932
1118,8.0,3,3.76,17.65,16.89,65.171
1128,8.0,3,3.53,17.52,16.98,64.846
1138,8.0,3,3.89,17.76,16.87,65.509
1148,8.0,3,3.69,17.56,16.87,65.042
1158,8.0,3,3.59,17.54,16.95,64.37899999999999
1168,8.0,3,3.57,17.56,16.98,64.641
1178,8.0,3,3.54,17.53,16.98,64.01899999999999
1188,8.0,3,3.54,17.54,17.0,64.184
1198,8.0,3,3.59,17.59,17.0,64.637
1208,8.0,3,3.57,17.57,16.99,64.483
1218,8.0,3,3.6,17.57,16.96,64.55
1228,8.0,3,3.67,17.63,16.95,64.749
1238,8.0,3,3.93,17.64,16.71,65.016
1248,8.0,3,3.89,17.62,16.73,65.036
1258,8.0,3,3.71,17.54,16.82,64.62100000000001
1268,8.0,3,3.45,17.39,16.93,63.693999999999996
1278,8.0,3,3.55,17.49,16.93,63.908
1288,8.0,3,3.49,17.42,16.93,64.264
1298,8.0,3,3.48,17.45,16.97,64.03699999999999
