,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain
1635,6,3,-4.12,16.08,23.21
1645,6,3,-4.13,16.11,23.24
1655,6,3,-4.35,15.95,23.31
1665,6,3,-4.22,16.11,23.33
1675,6,3,-4.07,16.07,23.15
1685,6,3,-4.15,16.06,23.21
1695,6,3,-4.13,16.08,23.22
1705,6,3,-4.35,16.01,23.36
1715,6,3,-4.34,16.05,23.4
1725,6,3,-4.36,16.02,23.39
1735,6,3,-4.4,15.99,23.39
1745,6,3,-4.25,16.04,23.29
1755,6,3,-4.11,16.05,23.16
1765,6,3,-3.93,16.15,23.09
1775,6,3,-4.0,16.07,23.08
1785,6,3,-4.06,16.03,23.1
1795,6,3,-4.14,16.06,23.2
1805,6,3,-4.21,16.03,23.25
1815,6,3,-4.44,15.94,23.39
1825,6,3,-4.21,16.02,23.24
1835,6,3,-4.09,16.11,23.2
1845,6,3,-4.14,16.15,23.29
1855,6,3,-4.02,16.21,23.23
1865,6,3,-4.14,16.19,23.34
1875,6,3,-4.09,16.28,23.38
1885,6,3,-4.11,16.3,23.41
1895,6,3,-4.08,16.33,23.42
1905,6,3,-3.95,16.44,23.4
1915,6,3,-3.9,16.46,23.37
1925,6,3,-3.69,16.67,23.36
1935,6,3,-3.74,16.6,23.35
1945,6,3,-3.51,16.61,23.12
1955,6,3,-3.83,16.23,23.07
1965,6,3,-3.84,16.25,23.1
1975,6,3,-4.01,16.17,23.18
1985,6,3,-3.87,16.27,23.15
1995,6,3,-3.95,16.24,23.2
2005,6,3,-3.91,16.3,23.21
2015,6,3,-3.94,16.2,23.15
2025,6,3,-3.98,16.18,23.16
2035,6,3,-3.96,16.21,23.17
2045,6,3,-3.88,16.19,23.08
2055,6,3,-3.77,16.22,23.0
2065,6,3,-3.91,16.1,23.02
2075,6,3,-3.91,16.12,23.03
2085,6,3,-4.04,16.07,23.11
2095,6,3,-4.06,15.95,23.02
2105,6,3,-3.99,15.99,22.98
2115,6,3,-4.05,15.98,23.03
2125,6,3,-3.85,16.06,22.91
2135,6,3,-3.86,16.01,22.88
2145,6,3,-3.82,16.02,22.84
2155,6,3,-3.92,16.02,22.94
2165,6,3,-4.04,15.96,23.01
2175,6,3,-3.97,16.04,23.02
2185,6,3,-4.13,16.0,23.14
2195,6,3,-4.0,16.13,23.14
2205,6,3,-4.12,16.15,23.27
2215,6,3,-4.01,16.23,23.25
2225,6,3,-4.15,16.23,23.38
2235,6,3,-4.31,16.2,23.51
2245,6,3,-4.2,16.3,23.51
2255,6,3,-4.14,16.35,23.49
2265,6,3,-3.89,16.58,23.47
2275,6,3,-4.13,16.38,23.52
2285,6,3,-3.8,16.63,23.44
2295,6,3,-3.89,16.63,23.52
2305,6,3,-3.64,16.7,23.35
2315,6,3,-3.26,16.99,23.26
2325,6,3,-3.84,15.98,22.82
2335,6,3,-3.87,16.08,22.95
2345,6,3,-3.76,16.17,22.94
