,Id1,Id2,Freq,Pin,Pout,Gain
0,40.87,91.48,6,-13,10.166,23.166
80,40.65,89.51,6,-13,10.164,23.164
160,41.42,89.49,6,-13,10.196,23.195999999999998
240,39.96,88.08,6,-13,10.203,23.203000000000003
320,40.9,88.66,6,-13,10.19,23.19
400,39.84,88.48,6,-13,10.183,23.183000000000003
480,40.54,87.86,6,-13,10.245,23.245
560,39.71,88.38,6,-13,10.214,23.214000000000002
640,40.24,87.81,6,-13,10.122,23.122
720,41.3,89.3,6,-13,10.204,23.204
800,40.44,89.15,6,-13,10.116,23.116
880,41.04,89.31,6,-13,10.203,23.203000000000003
960,40.44,89.67,6,-13,10.163,23.163
1040,40.56,88.76,6,-13,10.059,23.059
1120,40.55,89.5,6,-13,10.373,23.373
1200,39.41,86.39,6,-13,10.201,23.201
1280,40.17,87.02,6,-13,10.208,23.208000000000002
1360,39.6,87.87,6,-13,10.274000000000001,23.274
1440,39.8,87.16,6,-13,10.25,23.25
1520,39.26,86.61,6,-13,10.212,23.212
1600,39.62,86.02,6,-13,10.158999999999999,23.159000000000002
1680,39.66,87.04,6,-13,10.062000000000001,23.061999999999998
1760,40.11,88.04,6,-13,10.126,23.125999999999998
1840,39.98,87.28,6,-13,10.015,23.015
1920,39.73,87.7,6,-13,10.121,23.121
2000,40.35,87.59,6,-13,10.367,23.366999999999997
2080,39.49,86.41,6,-13,10.307,23.307
2160,39.74,86.27,6,-13,10.359000000000002,23.359
2240,37.4,85.03,6,-13,10.372,23.372
2320,38.26,82.67,6,-13,10.52,23.52
2400,39.52,84.81,6,-13,10.449000000000002,23.449
2480,38.61,85.24,6,-13,10.594000000000001,23.594
2560,39.28,85.25,6,-13,10.585,23.585
2640,38.03,84.79,6,-13,10.584000000000001,23.584
2720,42.1,94.39,6,-13,10.051,23.051
2800,40.76,89.68,6,-13,10.127,23.127
2880,41.51,89.83,6,-13,10.231,23.230999999999998
2960,40.15,89.04,6,-13,10.226,23.226
3040,40.55,87.19,6,-13,10.335,23.335
3120,39.44,87.59,6,-13,10.202,23.201999999999998
3200,40.1,87.05,6,-13,10.297,23.296999999999997
3280,38.95,87.08,6,-13,10.275,23.275
3360,39.19,86.3,6,-13,10.333,23.333000000000002
3440,40.11,86.52,6,-13,10.440999999999999,23.441
3520,39.44,87.0,6,-13,10.280999999999999,23.281
3600,40.59,88.04,6,-13,10.345,23.345
3680,40.2,88.51,6,-13,10.458,23.458000000000002
3760,40.76,88.48,6,-13,10.419,23.419
3840,40.07,88.59,6,-13,10.437999999999999,23.438000000000002
3920,40.09,87.64,6,-13,10.456,23.456
4000,40.41,87.66,6,-13,10.347999999999999,23.348000000000003
4080,39.38,87.17,6,-13,10.249,23.249000000000002
4160,39.99,86.74,6,-13,10.328,23.328000000000003
4240,39.03,86.6,6,-13,10.263,23.263
4320,39.64,86.21,6,-13,10.357999999999999,23.358
4400,38.7,86.09,6,-13,10.265,23.265
4480,38.88,85.43,6,-13,10.32,23.32
4560,39.62,85.62,6,-13,10.335,23.335
4640,39.0,85.72,6,-13,10.199,23.199
4720,38.59,84.23,6,-13,10.392999999999999,23.393
4800,37.61,82.72,6,-13,10.360999999999999,23.361
4880,38.6,83.06,6,-13,10.412,23.412
4960,37.57,83.45,6,-13,10.439,23.439
5040,38.07,83.24,6,-13,10.405999999999999,23.406
5120,39.14,84.06,6,-13,10.423,23.423000000000002
5200,37.91,84.32,6,-13,10.31,23.31
5280,38.77,84.31,6,-13,10.390999999999998,23.391
5360,37.46,83.63,6,-13,10.470999999999998,23.471
5440,38.46,83.85,6,-13,10.415,23.415
5520,37.21,83.06,6,-13,10.350999999999999,23.351
5600,37.26,83.19,6,-13,10.129,23.129
5680,38.35,83.1,6,-13,10.0,23.0
5760,43.72,97.26,6,-13,9.696,22.695999999999998
5840,43.04,95.35,6,-13,9.693999999999999,22.694000000000003
5920,46.83,93.83,6,-13,8.546,21.546
6000,41.42,92.76,6,-13,10.107999999999999,23.108
6080,41.12,92.0,6,-13,10.18,23.18
6160,41.06,89.29,6,-13,10.392999999999999,23.393
6240,40.37,89.31,6,-13,10.439,23.439
6320,40.78,88.47,6,-13,10.447000000000001,23.447
6400,39.45,88.44,6,-13,10.482000000000001,23.482
6480,38.64,84.54,6,-13,10.247,23.247
6560,39.6,84.73,6,-13,10.325,23.325
6640,39.2,86.47,6,-13,10.49,23.49
6720,39.95,85.79,6,-13,10.455,23.455
6800,38.65,85.15,6,-13,10.437999999999999,23.438000000000002
6880,39.46,85.45,6,-13,10.522,23.522
6960,38.46,85.33,6,-13,10.434000000000001,23.434
7040,38.36,83.55,6,-13,10.369000000000002,23.369
7120,39.56,84.53,6,-13,10.487,23.487
7200,38.1,84.1,6,-13,10.427,23.427
7280,39.03,84.07,6,-13,10.54,23.54
7360,38.11,84.11,6,-13,10.48,23.48
7440,37.87,84.14,6,-13,10.622,23.622
7520,38.37,83.75,6,-13,10.474,23.474
7600,39.51,84.69,6,-13,10.5,23.5
7680,38.34,84.62,6,-13,10.413,23.413
7760,39.44,84.99,6,-13,10.495999999999999,23.496
7840,37.76,84.03,6,-13,10.417,23.416999999999998
7920,38.87,83.97,6,-13,10.398,23.398000000000003
8000,37.81,84.37,6,-13,10.462,23.462
8080,37.87,82.66,6,-13,10.327,23.326999999999998
8160,38.86,83.73,6,-13,10.398,23.398000000000003
8240,37.74,83.86,6,-13,10.421,23.421
8320,39.16,84.52,6,-13,10.187000000000001,23.186999999999998
8400,37.79,85.05,6,-13,10.09,23.09
8480,38.47,84.4,6,-13,10.039,23.039
8560,42.95,94.32,6,-13,10.474,23.474
8640,42.24,93.7,6,-13,10.581,23.581
8720,41.63,91.54,6,-13,10.408,23.408
8800,41.64,91.24,6,-13,10.376,23.375999999999998
8880,40.68,90.66,6,-13,10.395,23.395
8960,40.66,88.72,6,-13,10.515999999999998,23.516
9040,39.62,88.01,6,-13,10.482999999999999,23.483
9120,40.22,87.28,6,-13,10.477,23.476999999999997
9200,38.6,86.73,6,-13,10.468,23.468000000000004
9280,38.72,85.02,6,-13,10.505999999999998,23.506
9360,39.58,85.51,6,-13,10.431,23.430999999999997
9440,38.14,85.08,6,-13,10.386,23.386
9520,39.39,85.4,6,-13,10.425999999999998,23.426
9600,38.39,85.59,6,-13,10.402000000000001,23.401999999999997
9680,39.28,85.58,6,-13,10.415999999999999,23.416
9760,37.96,85.46,6,-13,10.415,23.415
9840,38.53,84.86,6,-13,10.21,23.21
9920,39.69,86.08,6,-13,10.332,23.331999999999997
10000,38.84,86.63,6,-13,10.273,23.273000000000003
10080,40.01,87.56,6,-13,10.231,23.230999999999998
10160,39.82,88.21,6,-13,10.27,23.27
10240,40.13,88.06,6,-13,10.255,23.255
10320,39.37,88.15,6,-13,10.207,23.206999999999997
10400,40.03,87.73,6,-13,10.128,23.128
10480,42.96,95.6,6,-13,10.023,23.023000000000003
10560,43.26,96.12,6,-13,9.878,22.878
10640,42.75,94.18,6,-13,9.888,22.888
10720,42.38,94.37,6,-13,10.049,23.049
10800,41.76,92.18,6,-13,10.242,23.241999999999997
10880,42.15,92.21,6,-13,10.189,23.189
10960,41.62,92.3,6,-13,10.257,23.256999999999998
11040,41.99,90.95,6,-13,10.462,23.462
11120,41.16,90.74,6,-13,10.405999999999999,23.406
