,Id1,Id2,Freq,Pin,Pout,Gain
4,40.63,89.54,18,-13,7.811,20.811
84,40.39,87.68,18,-13,7.746,20.746
164,41.2,87.62,18,-13,7.836,20.836
244,39.75,86.32,18,-13,7.67,20.67
324,40.66,86.71,18,-13,7.765,20.765
404,39.61,86.57,18,-13,7.65,20.65
484,40.35,85.95,18,-13,7.647,20.647
564,39.53,86.58,18,-13,7.654,20.654
644,40.01,86.05,18,-13,7.707000000000001,20.706999999999997
724,41.07,87.51,18,-13,7.843999999999999,20.844
804,40.23,87.38,18,-13,7.557,20.557
884,40.86,87.6,18,-13,7.797000000000001,20.796999999999997
964,40.23,87.95,18,-13,7.775,20.775
1044,40.37,87.1,18,-13,7.564,20.564
1124,40.39,87.88,18,-13,7.888999999999999,20.889
1204,39.2,84.94,18,-13,7.761,20.761
1284,39.93,85.43,18,-13,7.803,20.803
1364,39.37,86.23,18,-13,7.841,20.840999999999998
1444,39.58,85.56,18,-13,7.78,20.78
1524,39.06,85.11,18,-13,7.739,20.739
1604,39.4,84.51,18,-13,7.642,20.642
1684,39.45,85.49,18,-13,7.71,20.71
1764,39.91,86.37,18,-13,7.669,20.669
1844,39.77,85.69,18,-13,7.473,20.473
1924,39.58,86.11,18,-13,7.6339999999999995,20.634
2004,40.14,85.9,18,-13,7.8,20.8
2084,39.27,84.82,18,-13,7.577999999999999,20.578000000000003
2164,39.52,84.72,18,-13,7.7860000000000005,20.785999999999998
2244,37.25,83.53,18,-13,7.546,20.546
2324,38.09,81.3,18,-13,7.766,20.766
2404,39.36,83.28,18,-13,7.64,20.64
2484,38.41,83.56,18,-13,7.774,20.774
2564,39.13,83.43,18,-13,7.882000000000001,20.881999999999998
2644,37.87,82.94,18,-13,7.776,20.776
2724,41.83,92.37,18,-13,8.05,21.05
2804,40.51,87.78,18,-13,7.8660000000000005,20.866
2884,41.29,87.94,18,-13,7.957999999999999,20.958000000000002
2964,39.96,87.21,18,-13,7.832000000000001,20.831999999999997
3044,40.35,85.49,18,-13,7.88,20.88
3124,39.23,85.83,18,-13,7.718999999999999,20.719
3204,39.87,85.18,18,-13,7.813,20.813000000000002
3284,38.74,85.35,18,-13,7.722,20.721999999999998
3364,38.96,84.66,18,-13,7.761,20.761
3444,39.88,84.96,18,-13,7.882999999999999,20.883000000000003
3524,39.2,85.36,18,-13,7.614,20.614
3604,40.37,86.41,18,-13,7.815,20.815
3684,39.98,86.86,18,-13,7.886,20.886
3764,40.57,86.81,18,-13,7.876,20.875999999999998
3844,39.9,86.96,18,-13,7.86,20.86
3924,39.82,86.11,18,-13,7.867999999999999,20.868000000000002
4004,40.2,86.05,18,-13,7.806,20.805999999999997
4084,39.16,85.55,18,-13,7.657,20.656999999999996
4164,39.78,85.11,18,-13,7.749,20.749000000000002
4244,38.84,85.06,18,-13,7.657,20.656999999999996
4324,39.47,84.68,18,-13,7.744,20.744
4404,38.49,84.54,18,-13,7.607,20.607
4484,38.66,83.95,18,-13,7.667000000000001,20.666999999999998
4564,39.42,84.11,18,-13,7.739,20.739
4644,38.83,84.19,18,-13,7.587999999999999,20.588
4724,38.41,82.65,18,-13,7.57,20.57
4804,37.46,81.25,18,-13,7.497000000000001,20.497
4884,38.39,81.55,18,-13,7.688,20.688000000000002
4964,37.42,81.91,18,-13,7.653,20.653000000000002
5044,37.87,81.66,18,-13,7.667000000000001,20.666999999999998
5124,38.95,82.46,18,-13,7.754,20.754
5204,37.68,82.65,18,-13,7.577999999999999,20.578000000000003
5284,38.59,82.54,18,-13,7.803,20.803
5364,37.31,81.92,18,-13,7.7620000000000005,20.761999999999997
5444,38.25,81.98,18,-13,7.813,20.813000000000002
5524,37.02,81.29,18,-13,7.733,20.733
5604,37.03,81.31,18,-13,7.664,20.664
5684,38.12,81.18,18,-13,7.7,20.7
5764,43.41,95.14,18,-13,8.019,21.019000000000002
5844,42.78,93.39,18,-13,7.811,20.811
5924,46.63,92.51,18,-13,7.877999999999999,20.878
6004,41.17,90.57,18,-13,8.057,21.057
6084,40.81,89.77,18,-13,8.071,21.070999999999998
6164,40.78,87.42,18,-13,8.027999999999999,21.028000000000002
6244,40.11,87.47,18,-13,7.98,20.98
6324,40.57,86.79,18,-13,7.956,20.956
6404,39.25,86.73,18,-13,7.9110000000000005,20.910999999999998
6484,38.34,82.96,18,-13,7.272,20.272000000000002
6564,39.37,83.18,18,-13,7.777,20.776999999999997
6644,39.02,84.8,18,-13,7.771,20.771
6724,39.75,84.05,18,-13,7.865,20.865
6804,38.43,83.39,18,-13,7.722,20.721999999999998
6884,39.19,83.73,18,-13,7.843999999999999,20.844
6964,38.24,83.63,18,-13,7.726,20.726
7044,38.11,81.94,18,-13,7.638,20.638
7124,39.35,82.87,18,-13,7.803,20.803
7204,37.89,82.44,18,-13,7.629,20.629
7284,38.82,82.44,18,-13,7.807,20.807
7364,37.92,82.41,18,-13,7.662000000000001,20.662
7444,37.68,82.6,18,-13,7.7410000000000005,20.741
7524,38.17,82.23,18,-13,7.691,20.691
7604,39.31,83.02,18,-13,7.792000000000001,20.791999999999998
7684,38.17,83.01,18,-13,7.643,20.643
7764,39.25,83.45,18,-13,7.837999999999999,20.838
7844,37.53,82.4,18,-13,7.625,20.625
7924,38.72,82.39,18,-13,7.7379999999999995,20.738000000000003
8004,37.6,82.75,18,-13,7.737,20.737
8084,37.64,81.05,18,-13,7.66,20.66
8164,38.65,82.14,18,-13,7.8260000000000005,20.826
8244,37.56,82.21,18,-13,7.785,20.785
8324,38.96,82.71,18,-13,7.815,20.815
8404,37.52,83.14,18,-13,7.6770000000000005,20.677
8484,38.2,82.5,18,-13,7.737,20.737
8564,42.68,92.38,18,-13,8.387,21.386999999999997
8644,41.98,91.75,18,-13,8.384,21.384
8724,41.37,89.47,18,-13,8.259,21.259
8804,41.35,89.04,18,-13,8.165,21.165
8884,40.42,88.53,18,-13,8.066,21.066
8964,40.46,86.65,18,-13,8.072000000000001,21.072
9044,39.38,86.02,18,-13,7.95,20.95
9124,39.95,85.38,18,-13,7.984,20.984
9204,38.33,84.79,18,-13,7.835,20.835
9284,38.47,83.12,18,-13,7.874,20.874000000000002
9364,39.34,83.55,18,-13,7.909,20.909000000000002
9444,37.89,83.05,18,-13,7.745,20.745
9524,39.14,83.43,18,-13,7.879,20.879
9604,38.17,83.64,18,-13,7.7860000000000005,20.785999999999998
9684,39.09,83.64,18,-13,7.881,20.881
9764,37.72,83.51,18,-13,7.832999999999999,20.833000000000002
9844,38.27,82.93,18,-13,7.757000000000001,20.756999999999998
9924,39.46,84.19,18,-13,7.92,20.92
10004,38.6,84.6,18,-13,7.87,20.87
10084,39.77,85.51,18,-13,7.952000000000001,20.951999999999998
10164,39.6,86.18,18,-13,7.992999999999999,20.993000000000002
10244,39.88,86.0,18,-13,8.008,21.008000000000003
10324,39.15,86.12,18,-13,7.979,20.979
10404,39.76,85.87,18,-13,8.022,21.022
10484,42.69,93.68,18,-13,7.912000000000001,20.912
10564,42.98,94.07,18,-13,7.8260000000000005,20.826
10644,42.46,92.18,18,-13,7.718,20.718000000000004
10724,42.19,92.36,18,-13,7.854,20.854
10804,41.54,90.39,18,-13,7.874,20.874000000000002
10884,41.94,90.37,18,-13,7.872000000000001,20.872
10964,41.43,90.41,18,-13,7.854,20.854
11044,41.77,89.22,18,-13,7.989,20.989
11124,40.94,88.97,18,-13,7.852,20.851999999999997
11204,41.57,88.74,18,-13,7.9910000000000005,20.991
11284,40.43,88.82,18,-13,7.772,20.772
11364,40.46,87.56,18,-13,7.76,20.76
11444,40.89,87.73,18,-13,7.754,20.754
11524,40.26,87.75,18,-13,7.744,20.744
11604,40.93,87.43,18,-13,7.879,20.879
11684,40.24,87.66,18,-13,7.812,20.811999999999998
11764,40.96,87.7,18,-13,7.933,20.933000000000003
11844,40.03,87.19,18,-13,7.782,20.781999999999996
11924,40.14,87.23,18,-13,7.86,20.86
12004,40.69,87.13,18,-13,7.851,20.851
12084,39.82,86.91,18,-13,7.818,20.818
12164,40.26,86.7,18,-13,7.82,20.82
12244,39.26,86.54,18,-13,7.718,20.718000000000004
12324,40.02,85.88,18,-13,7.874,20.874000000000002
12404,38.73,85.94,18,-13,7.7139999999999995,20.714000000000002
12484,38.77,85.03,18,-13,7.75,20.75
12564,39.49,84.21,18,-13,7.662999999999999,20.663
12644,38.13,84.34,18,-13,7.7010000000000005,20.701
12724,42.81,93.96,18,-13,7.801,20.801
12804,42.1,91.78,18,-13,7.7620000000000005,20.761999999999997
12884,42.72,91.56,18,-13,7.93,20.93
12964,41.96,90.79,18,-13,7.829,20.829
13044,42.3,89.98,18,-13,7.886,20.886
13124,41.29,90.04,18,-13,7.8389999999999995,20.839000000000002
13204,41.75,89.54,18,-13,7.899,20.899
13284,40.26,88.7,18,-13,7.778,20.778000000000002
13364,40.64,87.99,18,-13,7.685,20.685
13444,41.55,88.57,18,-13,7.803,20.803
13524,40.65,88.58,18,-13,7.7170000000000005,20.717
13604,40.99,87.9,18,-13,7.814,20.814
13684,40.25,88.1,18,-13,7.787999999999999,20.788
13764,40.93,87.84,18,-13,7.832000000000001,20.831999999999997
13844,40.0,87.79,18,-13,7.778,20.778000000000002
13924,40.34,87.55,18,-13,7.775,20.775
14004,41.18,88.27,18,-13,7.7139999999999995,20.714000000000002
14084,40.66,88.64,18,-13,7.524,20.524
14164,41.03,88.17,18,-13,7.577999999999999,20.578000000000003
14244,40.34,88.1,18,-13,7.495,20.495
14324,40.81,88.04,18,-13,7.704,20.704
14404,40.0,88.36,18,-13,7.707000000000001,20.706999999999997
14484,40.17,86.39,18,-13,7.797000000000001,20.796999999999997
14564,40.85,87.5,18,-13,7.775,20.775
14644,40.04,87.91,18,-13,7.676,20.676
14724,40.87,87.72,18,-13,7.801,20.801
14804,39.93,87.45,18,-13,7.706,20.706
14884,40.34,86.68,18,-13,7.792000000000001,20.791999999999998
14964,39.33,86.65,18,-13,7.765,20.765
15044,39.17,84.64,18,-13,7.752999999999999,20.753
15124,39.84,85.55,18,-13,7.857,20.857
15204,38.6,84.99,18,-13,7.734,20.734
15284,39.08,83.73,18,-13,7.8,20.8
15364,37.88,83.05,18,-13,7.725,20.725
15444,38.55,82.87,18,-13,7.815,20.815
15524,37.36,82.27,18,-13,7.563,20.563000000000002
15604,40.71,89.71,18,-13,7.712999999999999,20.713
15684,40.46,88.08,18,-13,7.678999999999999,20.679000000000002
15764,41.62,87.94,18,-13,7.774,20.774
15844,40.16,87.74,18,-13,7.63,20.63
15924,40.86,86.47,18,-13,7.689,20.689
16004,39.63,86.45,18,-13,7.601,20.601
16084,40.67,86.61,18,-13,7.652,20.651999999999997
16164,39.4,86.17,18,-13,7.542999999999999,20.543000000000003
16244,39.56,85.67,18,-13,7.621,20.621
16324,40.46,85.93,18,-13,7.541,20.541
16404,39.61,85.99,18,-13,7.462000000000001,20.462
16484,40.51,86.32,18,-13,7.546,20.546
16564,39.83,86.64,18,-13,7.547999999999999,20.548000000000002
16644,40.47,86.92,18,-13,7.656000000000001,20.656
16724,39.61,86.89,18,-13,7.492000000000001,20.491999999999997
16804,40.03,86.97,18,-13,7.635,20.635
16884,40.6,87.23,18,-13,7.742999999999999,20.743000000000002
16964,39.92,86.85,18,-13,7.504,20.504
17044,40.33,87.13,18,-13,7.44,20.44
17124,40.14,86.79,18,-13,7.276,20.276
17204,40.65,87.52,18,-13,7.5729999999999995,20.573
17284,40.46,88.21,18,-13,7.57,20.57
17364,40.41,87.08,18,-13,7.617999999999999,20.618000000000002
17444,40.61,87.05,18,-13,7.728,20.728
17524,39.9,87.0,18,-13,7.666,20.666
17604,40.05,85.75,18,-13,7.736000000000001,20.736
17684,39.21,85.82,18,-13,7.511,20.511
17764,39.23,84.27,18,-13,7.615,20.615
17844,38.48,83.86,18,-13,7.754,20.754
17924,39.11,84.09,18,-13,7.776,20.776
18004,39.78,84.91,18,-13,7.846,20.846
18084,38.84,84.89,18,-13,7.774,20.774
18164,39.24,83.87,18,-13,7.851,20.851
18244,37.92,84.03,18,-13,7.728,20.728
18324,38.82,83.22,18,-13,7.867999999999999,20.868000000000002
18404,37.42,82.39,18,-13,7.676,20.676
18484,36.2,79.86,18,-13,7.664,20.664
18564,43.16,92.67,18,-13,7.896,20.896
18644,42.06,92.64,18,-13,7.829,20.829
18724,42.1,90.19,18,-13,7.742999999999999,20.743000000000002
