,Id1,Id2,Freq,Pin,Pout,Gain
2,40.75,90.28,12,-13,9.277999999999999,22.278000000000002
82,40.52,88.39,12,-13,9.273,22.273000000000003
162,41.31,88.37,12,-13,9.415,22.415
242,39.89,87.0,12,-13,9.322000000000001,22.322
322,40.79,87.49,12,-13,9.434,22.434
402,39.75,87.35,12,-13,9.334,22.334
482,40.44,86.77,12,-13,9.482000000000001,22.482
562,39.64,87.3,12,-13,9.35,22.35
642,40.13,86.75,12,-13,9.287,22.287
722,41.2,88.27,12,-13,9.436,22.436
802,40.36,88.1,12,-13,9.304,22.304000000000002
882,40.96,88.35,12,-13,9.419,22.419
962,40.36,88.67,12,-13,9.35,22.35
1042,40.47,87.79,12,-13,9.23,22.23
1122,40.48,88.61,12,-13,9.564,22.564
1202,39.32,85.52,12,-13,9.33,22.33
1282,40.08,86.11,12,-13,9.389,22.389
1362,39.47,86.93,12,-13,9.389,22.389
1442,39.71,86.25,12,-13,9.406,22.406
1522,39.17,85.72,12,-13,9.363999999999999,22.364
1602,39.51,85.13,12,-13,9.281,22.281
1682,39.56,86.12,12,-13,9.207,22.206999999999997
1762,40.04,87.04,12,-13,9.293,22.293000000000003
1842,39.89,86.4,12,-13,9.24,22.24
1922,39.68,86.75,12,-13,9.291,22.291
2002,40.26,86.56,12,-13,9.523,22.523000000000003
2082,39.41,85.52,12,-13,9.431000000000001,22.430999999999997
2162,39.64,85.41,12,-13,9.521,22.521
2242,37.33,84.15,12,-13,9.408,22.408
2322,38.22,81.89,12,-13,9.657,22.656999999999996
2402,39.49,83.96,12,-13,9.652999999999999,22.653000000000002
2482,38.53,84.25,12,-13,9.677,22.677
2562,39.26,84.19,12,-13,9.785,22.785
2642,37.98,83.7,12,-13,9.719,22.719
2722,41.93,93.13,12,-13,9.196,22.195999999999998
2802,40.64,88.49,12,-13,9.254,22.254
2882,41.39,88.71,12,-13,9.433,22.433000000000003
2962,40.08,87.94,12,-13,9.354,22.354
3042,40.46,86.16,12,-13,9.533,22.533
3122,39.35,86.53,12,-13,9.352,22.351999999999997
3202,39.95,85.91,12,-13,9.477,22.476999999999997
3282,38.82,86.04,12,-13,9.382,22.381999999999998
3362,39.07,85.31,12,-13,9.447000000000001,22.447
3442,40.01,85.62,12,-13,9.613999999999999,22.614
3522,39.31,86.01,12,-13,9.415,22.415
3602,40.52,87.09,12,-13,9.527000000000001,22.526999999999997
3682,40.08,87.55,12,-13,9.618,22.618000000000002
3762,40.67,87.51,12,-13,9.607999999999999,22.608
3842,39.97,87.62,12,-13,9.601,22.601
3922,40.0,86.71,12,-13,9.58,22.58
4002,40.35,86.72,12,-13,9.539,22.539
4082,39.28,86.21,12,-13,9.369,22.369
4162,39.92,85.8,12,-13,9.538,22.538
4242,38.94,85.69,12,-13,9.401,22.401
4322,39.6,85.36,12,-13,9.538,22.538
4402,38.59,85.19,12,-13,9.416,22.416
4482,38.77,84.55,12,-13,9.456,22.456
4562,39.53,84.75,12,-13,9.524,22.524
4642,38.97,84.86,12,-13,9.363999999999999,22.364
4722,38.51,83.35,12,-13,9.509,22.509
4802,37.52,81.88,12,-13,9.464,22.464000000000002
4882,38.56,82.2,12,-13,9.57,22.57
4962,37.5,82.56,12,-13,9.557,22.557
5042,37.98,82.31,12,-13,9.516,22.516
5122,39.09,83.15,12,-13,9.602,22.601999999999997
5202,37.81,83.39,12,-13,9.427,22.427
5282,38.71,83.24,12,-13,9.551,22.551
5362,37.39,82.61,12,-13,9.584,22.584
5442,38.41,82.77,12,-13,9.57,22.57
5522,37.13,81.99,12,-13,9.446,22.445999999999998
5602,37.16,82.09,12,-13,9.263,22.263
5682,38.23,81.98,12,-13,9.214,22.214000000000002
5762,43.54,95.93,12,-13,8.895,21.895
5842,42.91,94.19,12,-13,8.97,21.97
5922,46.74,93.34,12,-13,8.986,21.986
6002,41.27,91.36,12,-13,9.315,22.315
6082,40.94,90.59,12,-13,9.36,22.36
6162,40.91,88.15,12,-13,9.573,22.573
6242,40.21,88.2,12,-13,9.578,22.578000000000003
6322,40.68,87.49,12,-13,9.621,22.621
6402,39.37,87.39,12,-13,9.6,22.6
6482,38.47,83.7,12,-13,9.771,22.771
6562,39.46,83.8,12,-13,9.469,22.469
6642,39.09,85.47,12,-13,9.656,22.656
6722,39.85,84.72,12,-13,9.632,22.631999999999998
6802,38.53,84.1,12,-13,9.557,22.557
6882,39.32,84.41,12,-13,9.67,22.67
6962,38.34,84.33,12,-13,9.558,22.558000000000003
7042,38.22,82.56,12,-13,9.478,22.478
7122,39.41,83.55,12,-13,9.655,22.655
7202,37.96,83.12,12,-13,9.521,22.521
7282,38.89,83.09,12,-13,9.719,22.719
7362,37.98,83.1,12,-13,9.584,22.584
7442,37.75,83.23,12,-13,9.695,22.695
7522,38.27,82.87,12,-13,9.602,22.601999999999997
7602,39.43,83.73,12,-13,9.676,22.676
7682,38.26,83.71,12,-13,9.519,22.519000000000002
