,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain
3,15,1,-4.98,16.64,22.63
13,15,1,-4.97,16.58,22.56
23,15,1,-5.13,16.54,22.68
33,15,1,-5.06,16.47,22.54
43,15,1,-5.15,16.5,22.66
53,15,1,-5.03,16.51,22.54
63,15,1,-5.2,16.46,22.66
73,15,1,-5.09,16.46,22.55
83,15,1,-5.13,16.34,22.47
93,15,1,-5.37,16.3,22.68
103,15,1,-5.19,16.35,22.55
113,15,1,-5.46,16.19,22.65
123,15,1,-5.38,16.18,22.56
133,15,1,-5.19,16.26,22.45
143,15,1,-5.47,16.27,22.74
153,15,1,-5.38,16.1,22.49
163,15,1,-5.29,16.2,22.5
173,15,1,-5.4,16.18,22.59
183,15,1,-5.5,16.1,22.61
193,15,1,-5.35,16.16,22.51
203,15,1,-5.25,16.15,22.4
213,15,1,-5.23,16.16,22.4
223,15,1,-5.27,16.27,22.54
233,15,1,-5.25,16.18,22.44
243,15,1,-5.21,16.26,22.48
253,15,1,-5.54,16.15,22.7
263,15,1,-5.29,16.28,22.58
273,15,1,-5.42,16.25,22.67
283,15,1,-5.25,16.22,22.48
293,15,1,-5.65,16.04,22.69
303,15,1,-5.49,16.23,22.72
313,15,1,-5.44,16.3,22.75
323,15,1,-5.52,16.32,22.84
333,15,1,-5.38,16.34,22.73
343,15,1,-5.03,16.63,22.67
353,15,1,-5.11,16.49,22.6
363,15,1,-5.3,16.43,22.74
373,15,1,-5.19,16.44,22.64
383,15,1,-5.46,16.27,22.74
393,15,1,-5.28,16.28,22.57
403,15,1,-5.53,16.15,22.68
413,15,1,-5.37,16.2,22.57
423,15,1,-5.56,16.09,22.66
433,15,1,-5.67,16.08,22.75
443,15,1,-5.5,16.12,22.62
453,15,1,-5.57,16.12,22.69
463,15,1,-5.73,16.07,22.81
473,15,1,-5.7,16.07,22.77
483,15,1,-5.66,16.09,22.76
493,15,1,-5.73,16.05,22.78
503,15,1,-5.62,16.07,22.7
513,15,1,-5.42,16.11,22.54
523,15,1,-5.51,16.15,22.67
533,15,1,-5.4,16.13,22.54
543,15,1,-5.57,16.09,22.66
553,15,1,-5.43,16.12,22.56
563,15,1,-5.44,16.14,22.58
573,15,1,-5.45,16.16,22.61
583,15,1,-5.29,16.21,22.5
593,15,1,-5.56,16.14,22.71
603,15,1,-5.37,16.14,22.52
613,15,1,-5.48,16.16,22.64
623,15,1,-5.53,16.09,22.62
633,15,1,-5.4,16.18,22.59
643,15,1,-5.46,16.22,22.68
653,15,1,-5.3,16.23,22.53
663,15,1,-5.47,16.21,22.68
673,15,1,-5.4,16.25,22.65
683,15,1,-5.41,16.27,22.68
693,15,1,-5.4,16.18,22.59
703,15,1,-5.25,16.19,22.44
713,15,1,-5.22,16.21,22.44
723,15,1,-4.72,16.76,22.48
733,15,1,-4.8,16.69,22.5
743,15,1,-5.0,16.53,22.54
753,15,1,-5.28,16.47,22.76
763,15,1,-5.46,16.36,22.82
773,15,1,-5.72,16.11,22.84
783,15,1,-5.69,16.08,22.78
793,15,1,-5.75,16.07,22.82
803,15,1,-5.71,16.09,22.8
813,15,1,-5.12,16.04,22.17
823,15,1,-5.53,16.03,22.56
833,15,1,-5.82,15.96,22.79
843,15,1,-5.7,16.03,22.74
853,15,1,-5.72,15.96,22.69
863,15,1,-5.77,16.02,22.8
873,15,1,-5.59,16.07,22.67
883,15,1,-5.63,15.94,22.57
893,15,1,-5.77,15.97,22.75
903,15,1,-5.58,16.01,22.59
913,15,1,-5.89,15.91,22.8
923,15,1,-5.72,15.92,22.64
933,15,1,-5.83,15.91,22.74
943,15,1,-5.61,16.06,22.67
953,15,1,-5.65,16.09,22.75
963,15,1,-5.46,16.14,22.61
973,15,1,-5.63,16.12,22.76
983,15,1,-5.56,16.08,22.64
993,15,1,-5.57,16.08,22.66
1003,15,1,-5.56,16.09,22.66
1013,15,1,-5.52,16.08,22.61
1023,15,1,-5.65,16.07,22.72
1033,15,1,-5.51,16.13,22.65
1043,15,1,-5.38,16.22,22.61
1053,15,1,-5.18,16.28,22.47
1063,15,1,-5.3,16.17,22.47
1073,15,1,-5.79,16.3,23.09
1083,15,1,-5.77,16.33,23.1
1093,15,1,-5.68,16.33,23.02
1103,15,1,-5.58,16.39,22.98
1113,15,1,-5.48,16.4,22.89
1123,15,1,-5.61,16.32,22.94
1133,15,1,-5.53,16.27,22.81
1143,15,1,-5.65,16.21,22.87
1153,15,1,-5.55,16.17,22.72
1163,15,1,-5.63,16.17,22.81
1173,15,1,-5.55,16.25,22.81
1183,15,1,-5.53,16.15,22.68
1193,15,1,-5.57,16.2,22.77
1203,15,1,-5.51,16.19,22.7
1213,15,1,-5.6,16.18,22.79
1223,15,1,-5.52,16.2,22.73
1233,15,1,-5.4,16.18,22.59
1243,15,1,-5.62,16.16,22.79
1253,15,1,-5.51,16.21,22.72
1263,15,1,-5.56,16.18,22.75
1273,15,1,-5.5,16.26,22.77
1283,15,1,-5.58,16.2,22.79
1293,15,1,-5.53,16.2,22.74
1303,15,1,-5.51,16.17,22.68
1313,15,1,-5.13,16.54,22.67
1323,15,1,-4.99,16.6,22.6
1333,15,1,-4.95,16.55,22.51
1343,15,1,-5.11,16.53,22.64
1353,15,1,-5.26,16.45,22.72
1363,15,1,-5.32,16.4,22.73
1373,15,1,-5.26,16.46,22.73
1383,15,1,-5.48,16.41,22.89
1393,15,1,-5.41,16.37,22.79
1403,15,1,-5.48,16.42,22.9
1413,15,1,-5.27,16.37,22.65
1423,15,1,-5.24,16.39,22.64
1433,15,1,-5.21,16.44,22.65
1443,15,1,-5.33,16.31,22.65
1453,15,1,-5.48,16.33,22.82
1463,15,1,-5.29,16.41,22.7
1473,15,1,-5.5,16.33,22.84
1483,15,1,-5.38,16.28,22.66
1493,15,1,-5.49,16.27,22.77
1503,15,1,-5.39,16.37,22.76
1513,15,1,-5.39,16.32,22.71
1523,15,1,-5.33,16.37,22.7
1533,15,1,-5.26,16.35,22.62
1543,15,1,-5.46,16.3,22.77
1553,15,1,-5.21,16.37,22.59
1563,15,1,-5.22,16.41,22.63
1573,15,1,-5.21,16.31,22.52
1583,15,1,-5.25,16.29,22.55
1593,15,1,-4.76,16.74,22.51
1603,15,1,-4.88,16.65,22.54
1613,15,1,-5.12,16.63,22.75
1623,15,1,-4.95,16.67,22.63
1633,15,1,-5.24,16.5,22.75
1643,15,1,-5.18,16.54,22.72
1653,15,1,-5.36,16.41,22.78
1663,15,1,-5.25,16.41,22.66
1673,15,1,-5.16,16.39,22.56
1683,15,1,-5.23,16.45,22.69
1693,15,1,-5.16,16.46,22.63
1703,15,1,-5.39,16.35,22.74
1713,15,1,-5.3,16.4,22.7
1723,15,1,-5.49,16.3,22.8
1733,15,1,-5.45,16.26,22.72
1743,15,1,-5.4,16.29,22.69
1753,15,1,-5.28,16.41,22.69
1763,15,1,-5.17,16.46,22.64
1773,15,1,-5.42,16.3,22.73
1783,15,1,-5.26,16.35,22.62
1793,15,1,-5.31,16.37,22.68
1803,15,1,-5.23,16.34,22.58
1813,15,1,-5.62,16.12,22.74
1823,15,1,-5.39,16.26,22.65
1833,15,1,-5.23,16.34,22.57
1843,15,1,-5.36,16.34,22.7
1853,15,1,-5.21,16.37,22.59
1863,15,1,-5.33,16.35,22.68
1873,15,1,-5.35,16.33,22.68
1883,15,1,-5.42,16.26,22.68
1893,15,1,-5.43,16.32,22.76
1903,15,1,-5.3,16.32,22.63
1913,15,1,-5.48,16.21,22.7
1923,15,1,-5.32,16.3,22.63
1933,15,1,-5.37,16.31,22.68
1943,15,1,-5.16,16.25,22.42
1953,15,1,-4.85,16.68,22.53
1963,15,1,-4.96,16.57,22.54
1973,15,1,-5.12,16.52,22.64
1983,15,1,-4.95,16.57,22.52
1993,15,1,-5.07,16.51,22.59
2003,15,1,-5.02,16.49,22.52
2013,15,1,-5.1,16.46,22.57
2023,15,1,-5.07,16.38,22.46
2033,15,1,-5.11,16.38,22.49
2043,15,1,-4.98,16.45,22.44
2053,15,1,-4.93,16.43,22.36
2063,15,1,-5.1,16.37,22.47
2073,15,1,-5.06,16.39,22.46
2083,15,1,-5.15,16.38,22.54
2093,15,1,-5.21,16.24,22.46
2103,15,1,-5.2,16.31,22.51
2113,15,1,-5.17,16.34,22.51
2123,15,1,-4.99,16.35,22.34
2133,15,1,-5.04,16.31,22.36
2143,15,1,-5.18,16.29,22.47
2153,15,1,-5.18,16.34,22.52
2163,15,1,-5.23,16.32,22.56
2173,15,1,-5.13,16.32,22.46
2183,15,1,-5.3,16.25,22.55
2193,15,1,-5.15,16.34,22.49
2203,15,1,-5.38,16.24,22.62
2213,15,1,-5.26,16.31,22.57
2223,15,1,-5.36,16.23,22.59
2233,15,1,-5.55,16.13,22.69
2243,15,1,-5.46,16.23,22.7
2253,15,1,-5.52,16.29,22.81
2263,15,1,-5.25,16.45,22.71
2273,15,1,-5.52,16.27,22.79
2283,15,1,-5.25,16.4,22.65
2293,15,1,-5.42,16.37,22.8
2303,15,1,-5.24,16.34,22.59
2313,15,1,-5.23,16.32,22.56
2323,15,1,-4.84,16.75,22.59
2333,15,1,-4.81,16.76,22.58
2343,15,1,-4.81,16.71,22.53
