,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain,Id
9,12.0,3,0.06,15.78,18.72,62.861000000000004
19,12.0,3,0.37,15.96,18.59,63.196000000000005
29,12.0,3,0.24,15.84,18.6,62.452
39,12.0,3,-0.12,15.62,18.75,62.6
49,12.0,3,-0.17,15.54,18.71,61.687
59,12.0,3,0.63,15.99,18.36,62.531000000000006
69,12.0,3,-0.28,15.46,18.74,61.405
79,12.0,3,-0.36,15.36,18.73,61.39
89,12.0,3,-0.4,15.26,18.66,61.111999999999995
99,12.0,3,-0.18,15.4,18.58,61.405
109,12.0,3,-0.3,15.41,18.72,61.625
119,12.0,3,-0.28,15.44,18.73,61.611000000000004
129,12.0,3,-0.74,15.0,18.74,61.074
139,12.0,3,-1.3,14.35,18.66,59.739
149,12.0,3,-0.38,15.26,18.65,60.972
159,12.0,3,-0.58,15.18,18.77,61.193000000000005
169,12.0,3,-0.54,15.14,18.69,61.1
179,12.0,3,-0.44,15.2,18.64,61.163999999999994
189,12.0,3,-0.22,15.49,18.72,61.821999999999996
199,12.0,3,-0.08,15.48,18.57,61.78
209,12.0,3,-0.25,15.48,18.74,61.452
219,12.0,3,-0.12,15.6,18.72,61.801
229,12.0,3,-0.3,15.45,18.76,61.036
239,12.0,3,0.44,15.68,18.23,61.885
249,12.0,3,-0.08,15.79,18.87,62.283
259,12.0,3,-0.12,15.74,18.86,62.496
269,12.0,3,-0.23,15.75,18.98,62.598
279,12.0,3,-0.1,15.78,18.89,62.266999999999996
289,12.0,3,-0.16,15.8,18.97,62.339
299,12.0,3,0.0,15.86,18.86,62.007
309,12.0,3,0.2,15.87,18.67,62.799
319,12.0,3,0.08,15.84,18.76,62.57899999999999
329,12.0,3,0.65,16.15,18.5,63.754
339,12.0,3,0.82,16.24,18.41,63.918
349,12.0,3,-0.2,15.48,18.69,61.606
359,12.0,3,-0.3,15.46,18.77,61.193000000000005
369,12.0,3,-0.43,15.33,18.77,61.461000000000006
379,12.0,3,-0.09,15.47,18.56,61.701
389,12.0,3,0.1,15.59,18.48,62.214
399,12.0,3,-0.05,15.41,18.46,61.201
409,12.0,3,-0.67,15.0,18.67,60.486999999999995
419,12.0,3,-0.77,14.9,18.68,60.396
429,12.0,3,-0.8,14.96,18.77,60.611999999999995
439,12.0,3,-0.54,15.16,18.7,60.668
449,12.0,3,-0.62,15.14,18.76,61.09
459,12.0,3,-0.53,15.15,18.69,60.994
469,12.0,3,-0.64,15.1,18.74,60.797
479,12.0,3,-0.53,15.17,18.7,60.907
489,12.0,3,-0.54,15.23,18.77,61.166000000000004
499,12.0,3,-0.53,15.19,18.73,61.059
509,12.0,3,-0.57,15.11,18.69,60.65
519,12.0,3,-0.36,15.33,18.7,61.379
529,12.0,3,-0.38,15.37,18.75,61.295
539,12.0,3,-0.54,15.13,18.68,60.795
549,12.0,3,-0.43,15.3,18.74,61.005
559,12.0,3,-0.55,15.19,18.75,60.691
569,12.0,3,-0.5,15.33,18.84,61.312
579,12.0,3,-0.41,15.37,18.78,61.103
589,12.0,3,-0.19,15.53,18.72,61.705
599,12.0,3,-0.17,15.66,18.83,61.728
609,12.0,3,-0.34,15.56,18.91,61.855
619,12.0,3,-0.22,15.66,18.88,61.736999999999995
629,12.0,3,-0.27,15.74,19.01,62.428000000000004
639,12.0,3,-0.13,15.76,18.89,62.823
649,12.0,3,1.08,16.56,18.48,64.608
659,12.0,3,0.11,15.69,18.57,61.915
669,12.0,3,-0.25,15.54,18.79,61.96
679,12.0,3,-0.5,15.27,18.77,61.128
689,12.0,3,0.3,15.75,18.44,62.217
699,12.0,3,-0.44,15.25,18.7,60.98
709,12.0,3,-0.79,14.95,18.74,61.251000000000005
719,12.0,3,-0.93,14.95,18.88,60.762
729,12.0,3,-0.85,14.96,18.82,60.918
739,12.0,3,-0.93,14.95,18.89,60.651
749,12.0,3,-0.62,15.14,18.77,61.24
759,12.0,3,-0.87,15.02,18.9,60.868
769,12.0,3,-0.69,15.03,18.72,60.498999999999995
779,12.0,3,-0.91,14.99,18.9,60.976000000000006
789,12.0,3,-1.43,14.28,18.72,59.943999999999996
799,12.0,3,-0.79,15.06,18.86,60.824
809,12.0,3,-0.81,14.95,18.77,60.551
819,12.0,3,-0.72,15.06,18.79,60.551
829,12.0,3,-0.71,15.05,18.77,60.715
839,12.0,3,-0.62,15.19,18.81,60.646
849,12.0,3,-0.53,15.22,18.76,60.917
859,12.0,3,-0.53,15.24,18.77,60.636
869,12.0,3,-0.48,15.14,18.63,60.663000000000004
879,12.0,3,-0.13,15.43,18.56,61.413999999999994
889,12.0,3,-0.56,15.2,18.77,60.716
899,12.0,3,0.07,15.63,18.56,61.745
909,12.0,3,-0.32,15.51,18.84,61.772
919,12.0,3,-0.34,15.61,18.95,61.971000000000004
929,12.0,3,-0.64,15.27,18.92,61.26
939,12.0,3,-0.21,15.62,18.84,62.085
949,12.0,3,-0.26,15.56,18.83,61.82
959,12.0,3,-0.31,15.58,18.89,61.666000000000004
969,12.0,3,-0.14,15.7,18.84,62.349
979,12.0,3,-0.23,15.68,18.91,62.218
989,12.0,3,0.0,15.77,18.78,62.015
999,12.0,3,-0.12,15.67,18.8,61.5
1009,12.0,3,-0.07,15.6,18.68,61.574
1019,12.0,3,-0.13,15.51,18.65,61.533
1029,12.0,3,0.1,15.66,18.56,62.052
1039,12.0,3,-0.18,15.56,18.74,61.607
1049,12.0,3,0.12,15.72,18.6,62.391999999999996
1059,12.0,3,0.12,15.72,18.59,62.678000000000004
1069,12.0,3,0.1,15.76,18.66,62.718999999999994
1079,12.0,3,0.01,15.61,18.6,61.797
1089,12.0,3,1.05,16.1,18.05,63.602
1099,12.0,3,0.66,16.01,18.35,62.865
1109,12.0,3,0.96,16.23,18.27,64.10300000000001
1119,12.0,3,0.61,15.95,18.33,62.887
1129,12.0,3,0.87,16.21,18.33,64.306
1139,12.0,3,0.13,15.73,18.6,62.431000000000004
1149,12.0,3,0.25,15.59,18.34,62.272
1159,12.0,3,-0.16,15.49,18.66,61.55
1169,12.0,3,-0.16,15.52,18.69,61.854
1179,12.0,3,-0.26,15.44,18.7,61.343
1189,12.0,3,-0.19,15.52,18.71,61.448
1199,12.0,3,-0.14,15.56,18.7,61.961000000000006
1209,12.0,3,-0.21,15.5,18.72,61.645
1219,12.0,3,-0.11,15.58,18.7,61.748000000000005
1229,12.0,3,-0.02,15.67,18.7,61.98
1239,12.0,3,-0.2,15.55,18.75,61.998000000000005
1249,12.0,3,-0.1,15.58,18.69,62.119
1259,12.0,3,-0.01,15.53,18.55,61.729
1269,12.0,3,-0.26,15.43,18.7,61.202
1279,12.0,3,-0.12,15.57,18.7,61.174
1289,12.0,3,0.42,15.84,18.42,62.013999999999996
1299,12.0,3,-0.25,15.49,18.75,61.419
1309,12.0,3,-0.33,15.48,18.81,61.606
1319,12.0,3,-0.15,15.53,18.68,61.817
1329,12.0,3,1.04,16.33,18.29,64.768
1339,12.0,3,0.26,15.81,18.55,63.04600000000001
1349,12.0,3,0.76,16.13,18.37,64.096
1359,12.0,3,0.75,16.15,18.4,63.794
1369,12.0,3,-0.09,15.55,18.64,62.04
1379,12.0,3,0.46,15.84,18.37,62.883
1389,12.0,3,0.22,15.82,18.6,62.821000000000005
1399,12.0,3,-0.29,15.43,18.73,61.472
1409,12.0,3,-0.22,15.47,18.69,61.68899999999999
1419,12.0,3,-0.38,15.32,18.71,61.766999999999996
1429,12.0,3,-0.06,15.54,18.61,61.658
1439,12.0,3,-0.01,15.62,18.64,62.06
1449,12.0,3,-0.1,15.58,18.68,62.067
1459,12.0,3,0.0,15.72,18.71,62.31399999999999
1469,12.0,3,0.03,15.75,18.71,62.152
1479,12.0,3,0.07,15.75,18.68,61.964
1489,12.0,3,0.01,15.72,18.7,62.348
1499,12.0,3,0.04,15.71,18.66,61.926
1509,12.0,3,0.1,15.74,18.64,62.196999999999996
1519,12.0,3,-0.09,15.58,18.67,61.911
1529,12.0,3,-0.26,15.39,18.66,60.782
1539,12.0,3,-0.17,15.52,18.7,61.893
1549,12.0,3,0.0,15.74,18.74,62.108000000000004
1559,12.0,3,-0.19,15.55,18.75,62.326
1569,12.0,3,0.01,15.74,18.73,62.265
