"Name","Company","State","City","Salary","Location","Url"
"Staff Mm-Wave/RF PLL IC Engineer","","OR","Portland","","Portland, OR","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=692330&s=58&guid=0000016b6d7faf62a5ceb5e0816071fe&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_0b675c6d&cb=1560910213384&jobListingId=3243864288"
"Staff Mm-Wave IC Engineer - Transmitter","","OR","Portland","","Portland, OR","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=692330&s=58&guid=0000016b6d7faf62a5ceb5e0816071fe&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_a2cca209&cb=1560910213385&jobListingId=3243846643"
"Staff Mm-Wave IC Engineer - Receiver","","OR","Portland","","Portland, OR","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=692330&s=58&guid=0000016b6d7faf62a5ceb5e0816071fe&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_65b32ac0&cb=1560910213386&jobListingId=3243856688"
"Staff Mm-Wave IC Engineer-Transmitter","","OR","Portland","","Portland, OR","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=389273&s=58&guid=0000016b6d7faf62a5ceb5e0816071fe&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_939e6bb5&cb=1560910213386&jobListingId=3218453034"
