"Name","Company","State","City","Salary","Location","Url"
"RF/Analog Verification Engineer"," Qualcomm  ","CA","San Diego","$93k-$128k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=4120&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_a8f87c37&cb=1560211022493&jobListingId=3248424435"
"RF Engineer II"," Experis  ","CA","San Diego","","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=85058&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_9b49bf2c&cb=1560211022494&jobListingId=3253522004"
"RF Systems Engineer"," Apple  ","CA","San Diego","$87k-$157k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=135079&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_3bdcd61d&cb=1560211022495&jobListingId=3225019215"
"RF Engineer"," HCRM Corp  ","CA","San Diego","","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=4323&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_ca3409f2&cb=1560211022496&jobListingId=3259122338"
"RF Software Engineer – Wireless Technologies"," Apple  ","CA","San Diego","$89k-$137k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=135079&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_93d1076c&cb=1560211022497&jobListingId=3258318314"
"Electronics Engineer - II"," Northrop Grumman  ","CA","San Diego","$65k-$90k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=459821&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_1bd018f6&cb=1560211022498&jobListingId=3240219231"
"Lead RF Engineer"," Fitbit  ","CA","San Diego","$114k-$154k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=620323&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_5f047ab7&cb=1560211022499&jobListingId=3176885315"
"RFFE Front End RF NPI Engineer"," Qualcomm  ","CA","San Diego","","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=4120&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_af431c32&cb=1560211022501&jobListingId=3196927962"
"RFIC Design Engineer"," Apple  ","CA","San Diego","$94k-$133k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=468454&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_15325174&cb=1560211022502&jobListingId=3018556015"
"RF Systems Engineers - San Diego, CA"," Qualcomm  ","CA","San Diego","$85k-$117k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=4120&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c85e09ec&cb=1560211022503&jobListingId=3223610218"
"Electrical Engineer"," SPAWAR Systems Center Pacific  ","CA","San Diego","$65k-$125k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=683940&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_ee2718ba&cb=1560211022504&jobListingId=3129279010"
"RF Firmware & Software Engineers, Wireless Technologies and Ecosystems"," Apple  ","CA","San Diego","$89k-$137k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=135079&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_0808c873&cb=1560211022505&jobListingId=3168194359"
"PHY Systems & Algorithm Engineer"," Apple  Top Company","CA","San Diego","","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=468454&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_3e1526d8&cb=1560211022506&jobListingId=3015193749"
"VP of Engineering"," Taoglas USA  ","CA","San Diego","","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=85058&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_27a7a5b1&cb=1560211022507&jobListingId=3254232827"
