Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Johnny O'Bryant III (22155820),Johnny O'Bryant III,22155820,PF/F/UTIL,3000,CHI@MIL 04/17/2022 06:30PM ET,MIL,0
SG,Matt Thomas (22155851),Matt Thomas,22155851,SG/G/UTIL,3000,CHI@MIL 04/17/2022 06:30PM ET,CHI,7.22
SG/SF,Malcolm Hill (22155854),Malcolm Hill,22155854,SG/SF/F/G/UTIL,3000,CHI@MIL 04/17/2022 06:30PM ET,CHI,8.04
PF,Jordan Bell (22155859),Jordan Bell,22155859,PF/F/UTIL,3000,CHI@MIL 04/17/2022 06:30PM ET,CHI,3.25
PG,Bryce Alford (22155867),Bryce Alford,22155867,PG/G/UTIL,3000,CHI@MIL 04/17/2022 06:30PM ET,CHI,0
SF,DeAndre' Bembry (22155883),DeAndre' Bembry,22155883,SF/F/UTIL,3000,CHI@MIL 04/17/2022 06:30PM ET,MIL,12.98
SG,Elijah Bryant (22155931),Elijah Bryant,22155931,SG/G/UTIL,3000,CHI@MIL 04/17/2022 06:30PM ET,MIL,0
SF,Rayjon Tucker (22155943),Rayjon Tucker,22155943,SF/F/UTIL,3000,CHI@MIL 04/17/2022 06:30PM ET,MIL,11.1
SF/PF,Troy Baxter (22155958),Troy Baxter,22155958,SF/PF/F/UTIL,3000,CHI@MIL 04/17/2022 06:30PM ET,CHI,0
C,Javin DeLaurier (22155962),Javin DeLaurier,22155962,C/UTIL,3000,CHI@MIL 04/17/2022 06:30PM ET,MIL,3.25
PF/C,Tyler Cook (22155964),Tyler Cook,22155964,PF/C/F/UTIL,3000,CHI@MIL 04/17/2022 06:30PM ET,CHI,7.51
PG,Lindell Wigginton (22155997),Lindell Wigginton,22155997,PG/G/UTIL,3000,CHI@MIL 04/17/2022 06:30PM ET,MIL,8.22
PG/SG,Ethan Thompson (22156002),Ethan Thompson,22156002,PG/SG/G/UTIL,3000,CHI@MIL 04/17/2022 06:30PM ET,CHI,0
PG/SG,Devon Dotson (22156030),Devon Dotson,22156030,PG/SG/G/UTIL,3000,CHI@MIL 04/17/2022 06:30PM ET,CHI,5.75
PG,Jalen Lecque (22156054),Jalen Lecque,22156054,PG/G/UTIL,3000,CHI@MIL 04/17/2022 06:30PM ET,MIL,0
PG/SG,Luca Vildoza (22156061),Luca Vildoza,22156061,PG/SG/G/UTIL,3000,CHI@MIL 04/17/2022 06:30PM ET,MIL,0
C,Marko Simonovic (22156065),Marko Simonovic,22156065,C/UTIL,3000,CHI@MIL 04/17/2022 06:30PM ET,CHI,3.67
PF,Anthony Tolliver (22155748),Anthony Tolliver,22155748,PF/F/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,NOP,0
PG,Garrett Temple (22155751),Garrett Temple,22155751,PG/G/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,NOP,12.53
SF,James Nunnally (22155784),James Nunnally,22155784,SF/F/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,NOP,0
SG,Tony Snell (22155794),Tony Snell,22155794,SG/G/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,NOP,7.79
PG,Chasson Randle (22155826),Chasson Randle,22155826,PG/G/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,PHX,0
PF,Abdel Nader (22155834),Abdel Nader,22155834,PF/F/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,PHX,7.05
PG,Tyrone Wallace (22155844),Tyrone Wallace,22155844,PG/G/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,NOP,6.08
SF,Paris Bass (22155877),Paris Bass,22155877,SF/F/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,PHX,6
PF/C,Dario Saric (22155890),Dario Saric,22155890,PF/C/F/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,PHX,0
SF,Gary Clark (22155896),Gary Clark,22155896,SF/F/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,NOP,7.62
SF,Justin Jackson (22155904),Justin Jackson,22155904,SF/F/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,PHX,3.96
SF,Chandler Hutchison (22155925),Chandler Hutchison,22155925,SF/F/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,PHX,1.88
PF,Zylan Cheatham (22155928),Zylan Cheatham,22155928,PF/F/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,NOP,0
SG,Justin James (22155950),Justin James,22155950,SG/G/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,NOP,0
PG,Jared Harper (22155971),Jared Harper,22155971,PG/G/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,NOP,14.4
C,Alize Johnson (22155976),Alize Johnson,22155976,C/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,NOP,5.86
SG,Miye Oni (22155978),Miye Oni,22155978,SG/G/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,NOP,1.33
PF/C,James Banks III (22155981),James Banks III,22155981,PF/C/F/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,NOP,0
SG,Ty-Shon Alexander (22155987),Ty-Shon Alexander,22155987,SG/G/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,PHX,0
PG/SG,John Petty Jr. (22156010),John Petty Jr.,22156010,PG/SG/G/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,NOP,0
PG/SG,M.J. Walker (22156014),M.J. Walker,22156014,PG/SG/G/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,PHX,3.38
PF,Emanuel Terry (22156025),Emanuel Terry,22156025,PF/F/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,PHX,7.08
PG,Kira Lewis Jr. (22156037),Kira Lewis Jr.,22156037,PG/G/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,NOP,11.70
SF,Daulton Hommes (22156051),Daulton Hommes,22156051,SF/F/UTIL,3000,NOP@PHX 04/17/2022 09:00PM ET,NOP,0
