,Proxy address,Proxy type,Registered,Registrar,WHOIS server,Creation date,Expiration date
0,91.150.189.122:30389,http,yes,home.pl S.A.,None,2003-06-14 08:45:04,2025-06-13 14:00:00
1,50.233.42.98:51696,http,yes,"CSC CORPORATE DOMAINS, INC.",whois.corporatedomains.com,2000-07-27 17:53:12,2025-07-27 17:53:12
2,5.167.141.239:3128,http,yes,RU-CENTER-RU,None,2001-03-13 21:00:00,2023-03-14 21:00:00
