,RK,NAME,POS,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,GAME LOG PAGE
17,178,Jae Crowder,PF,UTAH,80,27.1,0.80,-1.16,-0.36,3.89,http://www.espn.com/nba/player/gamelog/_/id/6581/jae-crowder
18,179,Alan Williams,PF,BKN,5,5.2,-1.66,1.29,-0.37,0.05,http://www.espn.com/nba/player/gamelog/_/id/2579326/alan-williams
19,180,David Nwaba,SG,CLE,51,19.3,-0.94,0.56,-0.38,1.65,http://www.espn.com/nba/player/gamelog/_/id/3062744/david-nwaba
20,181,Trey Burke,PG,DAL/NY,58,19.4,0.95,-1.35,-0.40,1.92,http://www.espn.com/nba/player/gamelog/_/id/2579260/trey-burke
21,182,Zach Collins,PF,POR,77,17.6,-1.39,0.98,-0.41,2.21,http://www.espn.com/nba/player/gamelog/_/id/4066650/zach-collins
22,183,Jonathan Isaac,PF,ORL,75,26.6,-1.54,1.12,-0.42,3.48,http://www.espn.com/nba/player/gamelog/_/id/4065654/jonathan-isaac
23,184,Kevin Huerter,SG,ATL,75,27.3,0.16,-0.58,-0.42,3.71,http://www.espn.com/nba/player/gamelog/_/id/4066372/kevin-huerter
24,185,Damian Jones,C,GS,24,17.1,-1.42,0.97,-0.45,0.69,http://www.espn.com/nba/player/gamelog/_/id/3064559/damian-jones
25,186,Zach LaVine,PG,CHI,63,34.5,1.41,-1.89,-0.48,3.58,http://www.espn.com/nba/player/gamelog/_/id/3064440/zach-lavine
26,187,Cheick Diallo,PF,NO,64,14.0,-1.55,1.06,-0.49,1.52,http://www.espn.com/nba/player/gamelog/_/id/3919335/cheick-diallo
27,188,Angel Delgado,C,LAC,2,7.5,-2.14,1.64,-0.50,0.03,http://www.espn.com/nba/player/gamelog/_/id/3136479/angel-delgado
28,189,Rodney Hood,SG,CLE/POR,72,26.3,-0.12,-0.39,-0.51,3.10,http://www.espn.com/nba/player/gamelog/_/id/2581177/rodney-hood
29,190,Darius Miller,SF,NO,69,25.5,0.23,-0.76,-0.53,2.91,http://www.espn.com/nba/player/gamelog/_/id/6610/darius-miller
30,191,Luc Mbah a Moute,PF,LAC,4,15.3,-2.12,1.57,-0.55,0.11,http://www.espn.com/nba/player/gamelog/_/id/3451/luc-mbah-a-moute
31,192,Caris LeVert,SG,BKN,40,26.6,-0.06,-0.49,-0.55,1.70,http://www.espn.com/nba/player/gamelog/_/id/2991043/caris-levert
32,193,Tyler Davis,C,OKC,1,1.0,-1.67,1.12,-0.55,0.00,http://www.espn.com/nba/player/gamelog/_/id/3947078/tyler-davis
33,194,Wesley Matthews,SG,DAL/IND/NY,69,30.3,-0.05,-0.51,-0.56,3.42,http://www.espn.com/nba/player/gamelog/_/id/4032/wesley-matthews
34,195,Garrett Temple,SG,LAC/MEM,75,27.2,-1.48,0.91,-0.57,3.22,http://www.espn.com/nba/player/gamelog/_/id/4023/garrett-temple
35,196,Jarell Martin,PF,ORL,42,7.8,-1.99,1.39,-0.60,0.54,http://www.espn.com/nba/player/gamelog/_/id/3064517/jarell-martin
36,197,Johnathan Williams,PF,LAL,24,15.5,-1.26,0.66,-0.60,0.57,http://www.espn.com/nba/player/gamelog/_/id/3064528/johnathan-williams
37,198,Mikal Bridges,SF,PHX,82,29.5,-0.04,-0.58,-0.62,3.75,http://www.espn.com/nba/player/gamelog/_/id/3147657/mikal-bridges
38,199,Christian Wood,PF,NO/MIL,21,12.0,-1.23,0.58,-0.65,0.35,http://www.espn.com/nba/player/gamelog/_/id/3058254/christian-wood
39,200,DeMarre Carroll,SF,BKN,67,25.4,-0.10,-0.56,-0.66,2.70,http://www.espn.com/nba/player/gamelog/_/id/3970/demarre-carroll
0,201,J.J. Barea,PG,DAL,38,19.8,-0.26,-0.42,-0.68,1.19,http://www.espn.com/nba/player/gamelog/_/id/3055/j.j.-barea
1,202,Amile Jefferson,PF,ORL,12,5.7,-1.36,0.66,-0.70,0.10,http://www.espn.com/nba/player/gamelog/_/id/2982249/amile-jefferson
2,203,Henry Ellenson,PF,DET/NY,19,13.6,-1.77,1.05,-0.72,0.03,http://www.espn.com/nba/player/gamelog/_/id/3906522/henry-ellenson
3,204,Justin Jackson,SF,DAL/SAC,81,19.9,0.21,-0.95,-0.74,2.53,http://www.espn.com/nba/player/gamelog/_/id/3138156/justin-jackson
4,205,Ian Mahinmi,C,WSH,34,14.6,-3.11,2.36,-0.75,0.71,http://www.espn.com/nba/player/gamelog/_/id/2774/ian-mahinmi
5,206,Donatas Motiejunas,PF,SA,3,4.3,-2.26,1.50,-0.76,0.02,http://www.espn.com/nba/player/gamelog/_/id/6464/donatas-motiejunas
6,207,Justin Patton,C,PHI,3,7.0,-2.00,1.24,-0.76,0.03,http://www.espn.com/nba/player/gamelog/_/id/3912332/justin-patton
7,208,Juan Hernangomez,PF,DEN,70,19.4,-0.97,0.21,-0.76,1.93,http://www.espn.com/nba/player/gamelog/_/id/4017839/juan-hernangomez
8,209,Dwight Howard,C,WSH,9,25.6,-2.26,1.48,-0.78,0.32,http://www.espn.com/nba/player/gamelog/_/id/2384/dwight-howard
9,210,Serge Ibaka,C,TOR,74,27.2,-1.11,0.32,-0.79,2.99,http://www.espn.com/nba/player/gamelog/_/id/3439/serge-ibaka
10,211,Jeff Teague,PG,MIN,42,30.1,0.00,-0.79,-0.79,1.90,http://www.espn.com/nba/player/gamelog/_/id/4015/jeff-teague
11,212,Evan Fournier,SG,ORL,81,31.5,0.64,-1.44,-0.80,3.71,http://www.espn.com/nba/player/gamelog/_/id/6588/evan-fournier
12,213,Jeff Green,SF,WSH,77,27.2,0.37,-1.19,-0.82,3.02,http://www.espn.com/nba/player/gamelog/_/id/3209/jeff-green
13,214,Kentavious Caldwell-Pope,SG,LAL,82,24.8,1.37,-2.20,-0.83,3.01,http://www.espn.com/nba/player/gamelog/_/id/2581018/kentavious-caldwell-pope
14,215,Marcus Morris,PF,BOS,75,27.9,0.31,-1.17,-0.86,3.04,http://www.espn.com/nba/player/gamelog/_/id/6462/marcus-morris
15,216,Tyreke Evans,SG,IND,69,20.3,-1.12,0.23,-0.89,1.95,http://www.espn.com/nba/player/gamelog/_/id/3983/tyreke-evans
16,217,Quincy Acy,F,PHX,10,12.3,-1.97,1.08,-0.89,0.14,http://www.espn.com/nba/player/gamelog/_/id/6576/quincy-acy
17,218,Deyonta Davis,C,ATL,9,13.1,-2.06,1.13,-0.93,0.18,http://www.espn.com/nba/player/gamelog/_/id/3937101/deyonta-davis
18,219,Bryn Forbes,SG,SA,82,28.0,0.81,-1.77,-0.96,3.10,http://www.espn.com/nba/player/gamelog/_/id/2994526/bryn-forbes
19,220,Kostas Antetokounmpo,PF,DAL,2,5.5,-2.09,1.13,-0.96,0.02,http://www.espn.com/nba/player/gamelog/_/id/4066490/kostas-antetokounmpo
20,221,Kyle Korver,SG,CLE/UTAH,70,19.1,-0.37,-0.60,-0.97,1.90,http://www.espn.com/nba/player/gamelog/_/id/2011/kyle-korver
21,222,Terry Rozier,PG,BOS,79,22.7,-0.89,-0.08,-0.97,2.44,http://www.espn.com/nba/player/gamelog/_/id/3074752/terry-rozier
22,223,Zhou Qi,C,HOU,1,1.0,-1.87,0.90,-0.97,0.00,http://www.espn.com/nba/player/gamelog/_/id/3892894/zhou-qi
23,224,Michael Kidd-Gilchrist,SF,CHA,64,18.4,-2.04,1.06,-0.98,1.59,http://www.espn.com/nba/player/gamelog/_/id/6601/michael-kidd-gilchrist
24,225,T.J. Warren,SF,PHX,43,31.6,-0.23,-0.75,-0.98,1.87,http://www.espn.com/nba/player/gamelog/_/id/2982334/t.j.-warren
25,226,Ray Spalding,PF,DAL/PHX,14,10.6,-1.98,1.00,-0.98,0.00,http://www.espn.com/nba/player/gamelog/_/id/3908806/ray-spalding
26,227,Wayne Ellington,SG,DET/MIA,53,24.5,-0.80,-0.20,-1.00,0.67,http://www.espn.com/nba/player/gamelog/_/id/3981/wayne-ellington
27,228,Isaiah Hartenstein,PF,HOU,28,7.9,-1.82,0.82,-1.00,0.30,http://www.espn.com/nba/player/gamelog/_/id/4222252/isaiah-hartenstein
28,229,Emanuel Terry,F,MIA/PHX,3,7.7,-1.85,0.85,-1.00,0.03,http://www.espn.com/nba/player/gamelog/_/id/4355392/emanuel-terry
29,230,Drew Eubanks,PF,SA,23,4.9,-1.98,0.97,-1.01,0.13,http://www.espn.com/nba/player/gamelog/_/id/3914285/drew-eubanks
30,231,T.J. Leaf,PF,IND,58,9.0,-1.46,0.45,-1.01,0.71,http://www.espn.com/nba/player/gamelog/_/id/4066425/t.j.-leaf
31,232,Ike Anigbogu,F,IND,3,2.0,-2.13,1.10,-1.03,0.01,http://www.espn.com/nba/player/gamelog/_/id/4066424/ike-anigbogu
32,233,Doug McDermott,SF,IND,77,17.4,0.30,-1.35,-1.05,1.74,http://www.espn.com/nba/player/gamelog/_/id/2528588/doug-mcdermott
33,234,Miles Plumlee,C,ATL,18,9.6,-1.70,0.64,-1.06,0.25,http://www.espn.com/nba/player/gamelog/_/id/6616/miles-plumlee
34,235,Norman Powell,SF,TOR,60,18.8,-0.73,-0.34,-1.07,1.45,http://www.espn.com/nba/player/gamelog/_/id/2595516/norman-powell
35,236,Bruno Caboclo,SF,MEM,34,23.5,-1.71,0.63,-1.08,0.11,http://www.espn.com/nba/player/gamelog/_/id/3113297/bruno-caboclo
36,237,Marcus Derrickson,F,GS,11,6.1,-1.32,0.24,-1.08,0.09,http://www.espn.com/nba/player/gamelog/_/id/3934670/marcus-derrickson
37,238,Raymond Felton,PG,OKC,33,11.5,-1.96,0.87,-1.09,0.51,http://www.espn.com/nba/player/gamelog/_/id/2753/raymond-felton
38,239,Malik Beasley,SG,DEN,81,23.2,1.47,-2.56,-1.09,2.35,http://www.espn.com/nba/player/gamelog/_/id/3907822/malik-beasley
39,240,Jason Smith,PF,NO/MIL/WSH,20,9.5,-2.88,1.78,-1.10,0.25,http://www.espn.com/nba/player/gamelog/_/id/3232/jason-smith
0,241,Tyler Lydon,PF,DEN,25,3.8,-1.95,0.85,-1.10,0.12,http://www.espn.com/nba/player/gamelog/_/id/3934662/tyler-lydon
1,242,Jaylen Brown,SG,BOS,74,25.9,-1.21,0.09,-1.12,2.46,http://www.espn.com/nba/player/gamelog/_/id/3917376/jaylen-brown
2,243,Vince Carter,SF,ATL,76,17.5,-1.05,-0.08,-1.13,1.77,http://www.espn.com/nba/player/gamelog/_/id/136/vince-carter
3,244,JaKarr Sampson,SF,CHI,4,31.8,-1.59,0.46,-1.13,0.14,http://www.espn.com/nba/player/gamelog/_/id/2608891/jakarr-sampson
4,245,Semi Ojeleye,PF,BOS,56,10.6,-1.68,0.55,-1.13,0.75,http://www.espn.com/nba/player/gamelog/_/id/3056602/semi-ojeleye
5,246,Yante Maten,PF,MIA,2,6.5,-2.07,0.94,-1.13,0.02,http://www.espn.com/nba/player/gamelog/_/id/3136183/yante-maten
6,247,Jarred Vanderbilt,PF,DEN,17,4.1,-2.13,1.00,-1.13,0.08,http://www.espn.com/nba/player/gamelog/_/id/4278077/jarred-vanderbilt
7,248,Isaiah Hicks,PF,NY,3,10.7,-2.00,0.86,-1.14,0.04,http://www.espn.com/nba/player/gamelog/_/id/3074765/isaiah-hicks
8,249,Ante Zizic,C,CLE,59,18.3,-2.43,1.28,-1.15,1.36,http://www.espn.com/nba/player/gamelog/_/id/4017838/ante-zizic
9,250,Kelly Oubre Jr.,SF,PHX/WSH,69,28.0,-0.11,-1.07,-1.18,2.36,http://www.espn.com/nba/player/gamelog/_/id/3133603/kelly-oubre-jr.
10,251,Chris Boucher,PF,TOR,28,5.8,-1.83,0.62,-1.21,0.20,http://www.espn.com/nba/player/gamelog/_/id/3948153/chris-boucher
11,252,Tony Bradley,C,UTAH,3,12.0,-1.95,0.73,-1.22,0.04,http://www.espn.com/nba/player/gamelog/_/id/4065673/tony-bradley
12,253,Michael Beasley,F,LAL,26,10.7,-1.82,0.59,-1.23,0.30,http://www.espn.com/nba/player/gamelog/_/id/3418/michael-beasley
13,254,Austin Rivers,PG,HOU/WSH,76,26.7,-0.37,-0.86,-1.23,2.34,http://www.espn.com/nba/player/gamelog/_/id/6617/austin-rivers
14,255,Josh Okogie,SG,MIN,74,23.7,-1.08,-0.15,-1.23,2.18,http://www.espn.com/nba/player/gamelog/_/id/4065663/josh-okogie
15,256,Jodie Meeks,SG,TOR,8,13.0,-0.92,-0.32,-1.24,0.12,http://www.espn.com/nba/player/gamelog/_/id/4003/jodie-meeks
16,257,Derrick Jones Jr.,SF,MIA,60,19.2,-1.87,0.62,-1.25,1.32,http://www.espn.com/nba/player/gamelog/_/id/3936099/derrick-jones-jr.
17,258,Tim Hardaway Jr.,G,DAL/NY,65,31.6,0.39,-1.66,-1.27,2.46,http://www.espn.com/nba/player/gamelog/_/id/2528210/tim-hardaway-jr.
18,259,Udonis Haslem,PF,MIA,10,7.4,-2.97,1.65,-1.32,0.08,http://www.espn.com/nba/player/gamelog/_/id/2184/udonis-haslem
19,260,DeVaughn Akoon-Purcell,G,DEN,7,3.1,-1.07,-0.25,-1.32,0.02,http://www.espn.com/nba/player/gamelog/_/id/3138256/devaughn-akoon-purcell
20,261,Dzanan Musa,SG,BKN,9,4.3,-2.13,0.80,-1.33,0.04,http://www.espn.com/nba/player/gamelog/_/id/4348696/dzanan-musa
21,262,Andrew Wiggins,SF,MIN,73,34.8,0.22,-1.56,-1.34,2.91,http://www.espn.com/nba/player/gamelog/_/id/3059319/andrew-wiggins
22,263,Scott Machado,PG,LAL,4,4.8,-1.21,-0.14,-1.35,0.02,http://www.espn.com/nba/player/gamelog/_/id/6644/scott-machado
23,264,Dario Saric,PF,MIN/PHI,81,25.0,0.25,-1.60,-1.35,2.29,http://www.espn.com/nba/player/gamelog/_/id/3032978/dario-saric
24,265,Donte Grantham,F,OKC,3,0.7,-2.09,0.74,-1.35,0.00,http://www.espn.com/nba/player/gamelog/_/id/3129674/donte-grantham
25,266,Jonah Bolden,PF,PHI,44,14.5,-1.95,0.60,-1.35,0.76,http://www.espn.com/nba/player/gamelog/_/id/3155533/jonah-bolden
26,267,Derrick Rose,PG,MIN,51,27.3,1.21,-2.57,-1.36,1.60,http://www.espn.com/nba/player/gamelog/_/id/3456/derrick-rose
27,268,Vincent Edwards,SF,HOU,2,8.0,-2.00,0.64,-1.36,0.02,http://www.espn.com/nba/player/gamelog/_/id/3136989/vincent-edwards
28,269,Isaac Humphries,C,ATL,5,11.2,-2.20,0.84,-1.36,0.07,http://www.espn.com/nba/player/gamelog/_/id/3926491/isaac-humphries
29,270,Jemerrio Jones,F,LAL,6,23.8,-2.08,0.72,-1.36,0.16,http://www.espn.com/nba/player/gamelog/_/id/4067469/jemerrio-jones
30,271,Dorian Finney-Smith,SF,DAL,81,24.5,-0.95,-0.43,-1.38,2.19,http://www.espn.com/nba/player/gamelog/_/id/2578185/dorian-finney-smith
31,272,Jake Layman,SF,POR,71,18.7,-1.03,-0.35,-1.38,1.40,http://www.espn.com/nba/player/gamelog/_/id/2982268/jake-layman
32,273,Deonte Burton,G,OKC,32,7.5,-2.72,1.34,-1.38,0.27,http://www.espn.com/nba/player/gamelog/_/id/3059358/deonte-burton
33,274,Quincy Pondexter,SF,SA,53,5.5,-1.66,0.27,-1.39,0.30,http://www.espn.com/nba/player/gamelog/_/id/4253/quincy-pondexter
34,275,Kyle O'Quinn,C,IND,45,8.2,-2.06,0.67,-1.39,0.40,http://www.espn.com/nba/player/gamelog/_/id/6615/kyle-o'quinn
35,276,Marcin Gortat,C,LAC,47,16.0,-3.20,1.80,-1.40,0.81,http://www.espn.com/nba/player/gamelog/_/id/2758/marcin-gortat
36,277,James Johnson,PF,MIA,55,21.2,-2.18,0.78,-1.40,1.24,http://www.espn.com/nba/player/gamelog/_/id/3999/james-johnson
37,278,Demetrius Jackson,G,PHI,6,6.5,-0.74,-0.72,-1.46,0.01,http://www.espn.com/nba/player/gamelog/_/id/3059273/demetrius-jackson
38,279,Ish Smith,PG,DET,56,22.3,-0.45,-1.02,-1.47,1.26,http://www.espn.com/nba/player/gamelog/_/id/4305/ish-smith
39,280,Ron Baker,G,NY/WSH,15,10.1,-1.56,0.09,-1.47,0.12,http://www.espn.com/nba/player/gamelog/_/id/2580349/ron-baker
0,281,Dion Waiters,SG,MIA,44,25.9,-0.64,-0.84,-1.48,1.13,http://www.espn.com/nba/player/gamelog/_/id/6628/dion-waiters
1,282,Torrey Craig,SF,DEN,75,20.0,-0.47,-1.01,-1.48,1.52,http://www.espn.com/nba/player/gamelog/_/id/2528693/torrey-craig
2,283,Yogi Ferrell,PG,SAC,71,15.0,0.01,-1.49,-1.48,1.11,http://www.espn.com/nba/player/gamelog/_/id/2991018/yogi-ferrell
3,284,Aaron Holiday,PG,IND,50,12.9,-1.10,-0.38,-1.48,0.67,http://www.espn.com/nba/player/gamelog/_/id/3922230/aaron-holiday
4,285,Jalen Jones,F,CLE,16,13.4,-1.23,-0.27,-1.50,0.17,http://www.espn.com/nba/player/gamelog/_/id/2579476/jalen-jones
5,286,Rodions Kurucs,SF,BKN,63,20.5,-1.21,-0.29,-1.50,0.08,http://www.espn.com/nba/player/gamelog/_/id/4230548/rodions-kurucs
6,287,Shai Gilgeous-Alexander,PG,LAC,82,26.5,-0.40,-1.11,-1.51,2.23,http://www.espn.com/nba/player/gamelog/_/id/4278073/shai-gilgeous-alexander
7,288,Robin Lopez,C,CHI,74,21.7,-1.97,0.45,-1.52,1.60,http://www.espn.com/nba/player/gamelog/_/id/3447/robin-lopez
8,289,Cameron Reynolds,G,MIN,19,13.6,-1.34,-0.18,-1.52,0.25,http://www.espn.com/nba/player/gamelog/_/id/3057240/cameron-reynolds
9,290,Gorgui Dieng,C,MIN,76,13.6,-1.15,-0.40,-1.55,1.03,http://www.espn.com/nba/player/gamelog/_/id/2534781/gorgui-dieng
10,291,Gerald Green,SG,HOU,73,20.2,0.72,-2.28,-1.56,1.43,http://www.espn.com/nba/player/gamelog/_/id/2761/gerald-green
11,292,John Wall,PG,WSH,32,34.5,-0.57,-1.00,-1.57,1.10,http://www.espn.com/nba/player/gamelog/_/id/4237/john-wall
12,293,D.J. Wilson,PF,MIL,48,18.4,-2.24,0.67,-1.57,0.89,http://www.espn.com/nba/player/gamelog/_/id/3136491/d.j.-wilson
13,294,Trevor Ariza,SF,PHX/WSH,69,34.0,-0.34,-1.25,-1.59,2.24,http://www.espn.com/nba/player/gamelog/_/id/2426/trevor-ariza
14,295,Johnathan Motley,PF,LAC,22,7.1,-1.92,0.33,-1.59,0.15,http://www.espn.com/nba/player/gamelog/_/id/3059306/johnathan-motley
15,296,Dennis Schroder,PG,OKC,79,29.3,0.29,-1.89,-1.60,2.31,http://www.espn.com/nba/player/gamelog/_/id/3032979/dennis-schroder
16,297,Troy Caupain,PG,ORL,4,4.0,-1.48,-0.12,-1.60,0.01,http://www.espn.com/nba/player/gamelog/_/id/3074743/troy-caupain
17,298,Kenrich Williams,SG,NO,46,23.5,-1.78,0.17,-1.61,1.08,http://www.espn.com/nba/player/gamelog/_/id/3133626/kenrich-williams
18,299,Devin Robinson,SF,WSH,7,13.6,-1.76,0.15,-1.61,0.08,http://www.espn.com/nba/player/gamelog/_/id/3137798/devin-robinson
19,300,PJ Dozier,PG,BOS,6,8.5,-1.92,0.31,-1.61,0.05,http://www.espn.com/nba/player/gamelog/_/id/3923250/pj-dozier
20,301,Luke Kennard,SG,DET,63,22.8,0.14,-1.77,-1.63,1.29,http://www.espn.com/nba/player/gamelog/_/id/3913174/luke-kennard
21,302,Milos Teodosic,G,LAC,15,10.0,-1.03,-0.61,-1.64,0.15,http://www.espn.com/nba/player/gamelog/_/id/4192/milos-teodosic
22,303,Donte DiVincenzo,SG,MIL,27,15.2,-1.67,0.02,-1.65,0.40,http://www.espn.com/nba/player/gamelog/_/id/3934673/donte-divincenzo
23,304,Jaylen Morris,SG,MIL,4,7.3,-1.05,-0.60,-1.65,0.02,http://www.espn.com/nba/player/gamelog/_/id/3952343/jaylen-morris
24,305,Tony Snell,SG,MIL,74,17.6,-0.06,-1.61,-1.67,1.21,http://www.espn.com/nba/player/gamelog/_/id/2528353/tony-snell
25,306,Jordan McRae,SG,WSH,27,12.3,-1.70,0.03,-1.67,0.27,http://www.espn.com/nba/player/gamelog/_/id/2531797/jordan-mcrae
26,307,Tahjere McCall,SG,BKN,1,8.0,-1.72,0.05,-1.67,0.01,http://www.espn.com/nba/player/gamelog/_/id/2992257/tahjere-mccall
27,308,Alex Abrines,G,OKC,31,19.0,-2.60,0.91,-1.69,0.56,http://www.espn.com/nba/player/gamelog/_/id/2995702/alex-abrines
28,309,Andre Ingram,SG,LAL,4,3.8,-1.82,0.12,-1.70,0.01,http://www.espn.com/nba/player/gamelog/_/id/2141179/andre-ingram
29,310,Julian Washburn,SF,MEM,18,14.1,-2.32,0.62,-1.70,0.21,http://www.espn.com/nba/player/gamelog/_/id/2579492/julian-washburn
30,311,Dusty Hannahs,G,MEM,2,13.0,-1.48,-0.24,-1.72,0.01,http://www.espn.com/nba/player/gamelog/_/id/3001309/dusty-hannahs
31,312,Dwayne Bacon,SG,CHA,43,17.7,-0.47,-1.26,-1.73,0.66,http://www.espn.com/nba/player/gamelog/_/id/3907821/dwayne-bacon
32,313,Thon Maker,PF,DET/MIL,64,15.2,-2.74,1.01,-1.73,0.82,http://www.espn.com/nba/player/gamelog/_/id/4017843/thon-maker
33,314,JR Smith,SG,CLE,11,20.2,-2.72,0.98,-1.74,0.20,http://www.espn.com/nba/player/gamelog/_/id/2444/jr-smith
34,315,Spencer Dinwiddie,PG,BKN,68,28.1,1.47,-3.22,-1.75,1.64,http://www.espn.com/nba/player/gamelog/_/id/2580782/spencer-dinwiddie
35,316,Davon Reed,SG,IND,10,4.7,-1.67,-0.08,-1.75,0.04,http://www.espn.com/nba/player/gamelog/_/id/3059262/davon-reed
36,317,DJ Stephens,G,MEM,1,7.0,-1.33,-0.43,-1.76,0.01,http://www.espn.com/nba/player/gamelog/_/id/2489563/dj-stephens
37,318,Jabari Parker,PF,CHI/WSH,64,26.9,-0.84,-0.92,-1.76,1.51,http://www.espn.com/nba/player/gamelog/_/id/3056600/jabari-parker
38,319,Brandon Ingram,SF,LAL,52,33.8,-1.23,-0.54,-1.77,1.55,http://www.espn.com/nba/player/gamelog/_/id/3913176/brandon-ingram
39,320,Enes Kanter,C,NY/POR,67,24.5,-0.32,-1.46,-1.78,0.97,http://www.espn.com/nba/player/gamelog/_/id/6447/enes-kanter
0,321,Amir Johnson,C,PHI,51,10.4,-1.95,0.14,-1.81,0.45,http://www.espn.com/nba/player/gamelog/_/id/2769/amir-johnson
1,322,Kadeem Allen,SG,NY,19,21.9,-0.36,-1.45,-1.81,0.34,http://www.espn.com/nba/player/gamelog/_/id/3134880/kadeem-allen
2,323,Nick Young,G,DEN,4,9.3,-1.77,-0.05,-1.82,0.03,http://www.espn.com/nba/player/gamelog/_/id/3243/nick-young
3,324,George King,SF,PHX,1,6.0,-1.96,0.12,-1.84,0.00,http://www.espn.com/nba/player/gamelog/_/id/3064320/george-king
4,325,Courtney Lee,SG,DAL/NY,34,12.6,-2.21,0.34,-1.87,0.34,http://www.espn.com/nba/player/gamelog/_/id/3445/courtney-lee
5,326,Jordan Loyd,PG,TOR,12,4.6,-1.52,-0.36,-1.88,0.05,http://www.espn.com/nba/player/gamelog/_/id/2595592/jordan-loyd
6,327,Jalen Brunson,PG,DAL,73,21.8,-0.24,-1.64,-1.88,1.25,http://www.espn.com/nba/player/gamelog/_/id/3934672/jalen-brunson
7,328,Skal Labissiere,PF,POR/SAC,22,8.0,-1.76,-0.12,-1.88,0.13,http://www.espn.com/nba/player/gamelog/_/id/3936296/skal-labissiere
8,329,Alize Johnson,PF,IND,14,4.6,-2.18,0.29,-1.89,0.06,http://www.espn.com/nba/player/gamelog/_/id/4067045/alize-johnson
9,330,Furkan Korkmaz,SG,PHI,48,14.1,-0.64,-1.26,-1.90,0.52,http://www.espn.com/nba/player/gamelog/_/id/3929325/furkan-korkmaz
10,331,BJ Johnson,SF,ATL/SAC,7,7.0,-2.11,0.20,-1.91,0.02,http://www.espn.com/nba/player/gamelog/_/id/3059280/bj-johnson
11,332,Miles Bridges,SF,CHA,80,21.2,-0.75,-1.16,-1.91,1.31,http://www.espn.com/nba/player/gamelog/_/id/4066383/miles-bridges
12,333,Matthew Dellavedova,PG,CLE/MIL,48,16.9,-1.38,-0.54,-1.92,0.61,http://www.espn.com/nba/player/gamelog/_/id/2489716/matthew-dellavedova
13,334,Zach Lofton,G,DET,1,4.0,-1.37,-0.55,-1.92,0.00,http://www.espn.com/nba/player/gamelog/_/id/3059430/zach-lofton
14,335,DeAndre' Bembry,SF,ATL,82,23.5,-1.66,-0.26,-1.92,1.54,http://www.espn.com/nba/player/gamelog/_/id/3062667/deandre'-bembry
15,336,Trey Lyles,PF,DEN,64,17.5,-2.04,0.12,-1.92,0.84,http://www.espn.com/nba/player/gamelog/_/id/3136196/trey-lyles
16,337,Guerschon Yabusele,PF,BOS,41,6.1,-2.00,0.08,-1.92,0.19,http://www.espn.com/nba/player/gamelog/_/id/4017844/guerschon-yabusele
17,338,Iman Shumpert,SG,HOU/SAC,62,23.9,-1.10,-0.83,-1.93,1.16,http://www.espn.com/nba/player/gamelog/_/id/6468/iman-shumpert
18,339,Joe Chealey,PG,CHA,1,8.0,-1.58,-0.35,-1.93,0.01,http://www.espn.com/nba/player/gamelog/_/id/3058269/joe-chealey
19,340,Kris Dunn,PG,CHI,46,30.2,-1.46,-0.48,-1.94,1.01,http://www.espn.com/nba/player/gamelog/_/id/2991139/kris-dunn
20,341,Wendell Carter Jr.,C,CHI,44,25.2,-4.36,2.41,-1.95,0.83,http://www.espn.com/nba/player/gamelog/_/id/4277847/wendell-carter-jr.
21,342,Dennis Smith Jr.,PG,DAL/NY,53,28.5,-1.82,-0.15,-1.97,1.11,http://www.espn.com/nba/player/gamelog/_/id/4065697/dennis-smith-jr.
22,343,Tim Frazier,PG,NO/MIL,59,19.0,-0.91,-1.07,-1.98,0.68,http://www.espn.com/nba/player/gamelog/_/id/2488945/tim-frazier
23,344,Bobby Portis,PF,CHI/WSH,50,26.0,-0.43,-1.55,-1.98,0.95,http://www.espn.com/nba/player/gamelog/_/id/3064482/bobby-portis
24,345,Marco Belinelli,SG,SA,79,23.0,0.62,-2.61,-1.99,1.33,http://www.espn.com/nba/player/gamelog/_/id/3190/marco-belinelli
25,346,Jordan Sibert,SG,ATL,1,4.0,-1.72,-0.28,-2.00,0.00,http://www.espn.com/nba/player/gamelog/_/id/2579279/jordan-sibert
26,347,Elfrid Payton,PG,NO,42,29.8,-0.62,-1.38,-2.00,0.93,http://www.espn.com/nba/player/gamelog/_/id/2583639/elfrid-payton
27,348,Jahlil Okafor,C,NO,59,15.8,-2.15,0.15,-2.00,0.68,http://www.espn.com/nba/player/gamelog/_/id/3135048/jahlil-okafor
28,349,Lance Stephenson,SG,LAL,68,16.5,-0.74,-1.27,-2.01,0.80,http://www.espn.com/nba/player/gamelog/_/id/4244/lance-stephenson
29,350,J.P. Macura,SG,CHA,2,8.5,-2.00,-0.01,-2.01,0.01,http://www.espn.com/nba/player/gamelog/_/id/3136483/j.p.-macura
30,351,Theo Pinson,SG,BKN,18,11.7,-2.42,0.41,-2.01,0.15,http://www.espn.com/nba/player/gamelog/_/id/3138154/theo-pinson
31,352,Tyler Johnson,SG,MIA/PHX,57,26.8,-0.96,-1.06,-2.02,1.01,http://www.espn.com/nba/player/gamelog/_/id/2530276/tyler-johnson
32,353,Isaac Bonga,PG,LAL,22,5.5,-2.97,0.95,-2.02,0.08,http://www.espn.com/nba/player/gamelog/_/id/4348697/isaac-bonga
