,RK,NAME,POS,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,GAME LOG PAGE
36,37,Andre Iguodala,SG,GS,68,23.2,0.71,1.96,2.67,5.69,http://www.espn.com/nba/player/gamelog/_/id/2386/andre-iguodala
37,38,Patrick Beverley,PG,LAC,78,27.4,1.36,1.31,2.67,7.77,http://www.espn.com/nba/player/gamelog/_/id/3964/patrick-beverley
38,39,Robert Covington,SF,MIN/PHI,35,34.4,-0.80,3.47,2.67,4.31,http://www.espn.com/nba/player/gamelog/_/id/2490620/robert-covington
39,40,Derrick Favors,PF,UTAH,76,23.2,-0.50,3.10,2.60,6.52,http://www.espn.com/nba/player/gamelog/_/id/4257/derrick-favors
0,41,DeMarcus Cousins,C,GS,30,25.7,-0.84,3.34,2.50,2.74,http://www.espn.com/nba/player/gamelog/_/id/4258/demarcus-cousins
1,42,Russell Westbrook,PG,OKC,73,36.0,2.57,-0.08,2.49,9.73,http://www.espn.com/nba/player/gamelog/_/id/3468/russell-westbrook
2,43,Andre Drummond,C,DET,79,33.5,0.56,1.81,2.37,8.81,http://www.espn.com/nba/player/gamelog/_/id/6585/andre-drummond
3,44,Rudy Gay,SF,SA,69,26.7,0.49,1.78,2.27,6.27,http://www.espn.com/nba/player/gamelog/_/id/3005/rudy-gay
4,45,Dwight Powell,PF,DAL,77,21.6,2.22,0.03,2.25,5.63,http://www.espn.com/nba/player/gamelog/_/id/2531367/dwight-powell
5,46,Marcus Smart,PG,BOS,80,27.5,0.97,1.28,2.25,7.43,http://www.espn.com/nba/player/gamelog/_/id/2990992/marcus-smart
6,47,Victor Oladipo,SG,IND,36,31.9,0.92,1.28,2.20,3.72,http://www.espn.com/nba/player/gamelog/_/id/2527963/victor-oladipo
7,48,Khris Middleton,SF,MIL,77,31.1,1.78,0.37,2.15,8.32,http://www.espn.com/nba/player/gamelog/_/id/6609/khris-middleton
8,49,George Hill,PG,CLE/MIL,60,21.7,0.11,1.97,2.08,4.28,http://www.espn.com/nba/player/gamelog/_/id/3438/george-hill
9,50,Kelly Olynyk,PF,MIA,79,22.9,0.72,1.35,2.07,5.90,http://www.espn.com/nba/player/gamelog/_/id/2489663/kelly-olynyk
10,51,Justise Winslow,SF,MIA,66,29.7,0.17,1.87,2.04,6.26,http://www.espn.com/nba/player/gamelog/_/id/3135047/justise-winslow
11,52,Donovan Mitchell,SG,UTAH,77,33.7,1.70,0.30,2.00,8.67,http://www.espn.com/nba/player/gamelog/_/id/3908809/donovan-mitchell
12,53,Derrick White,PG,SA,67,25.8,0.52,1.47,1.99,5.61,http://www.espn.com/nba/player/gamelog/_/id/3078576/derrick-white
13,54,Thaddeus Young,PF,IND,81,30.7,0.56,1.31,1.87,7.68,http://www.espn.com/nba/player/gamelog/_/id/3244/thaddeus-young
14,55,Steven Adams,C,OKC,80,33.4,-0.31,2.12,1.81,8.64,http://www.espn.com/nba/player/gamelog/_/id/2991235/steven-adams
15,56,Clint Capela,C,HOU,67,33.6,-0.20,2.01,1.81,6.76,http://www.espn.com/nba/player/gamelog/_/id/3102529/clint-capela
16,57,Nemanja Bjelica,PF,SAC,77,23.2,0.69,1.11,1.80,5.83,http://www.espn.com/nba/player/gamelog/_/id/4269/nemanja-bjelica
17,58,Ben Simmons,PG,PHI,79,34.2,1.25,0.54,1.79,8.56,http://www.espn.com/nba/player/gamelog/_/id/3907387/ben-simmons
18,59,Josh Richardson,SG,MIA,73,34.8,1.45,0.33,1.78,7.79,http://www.espn.com/nba/player/gamelog/_/id/2581190/josh-richardson
19,60,Willie Cauley-Stein,C,SAC,81,27.3,-0.77,2.55,1.78,7.20,http://www.espn.com/nba/player/gamelog/_/id/2991282/willie-cauley-stein
20,61,Monte Morris,PG,DEN,82,24.0,1.76,0.02,1.78,5.89,http://www.espn.com/nba/player/gamelog/_/id/3059310/monte-morris
21,62,De'Aaron Fox,PG,SAC,81,31.4,1.28,0.47,1.75,8.36,http://www.espn.com/nba/player/gamelog/_/id/4066259/de'aaron-fox
22,63,Daniel Theis,PF,BOS,66,13.8,-0.10,1.84,1.74,2.74,http://www.espn.com/nba/player/gamelog/_/id/2451037/daniel-theis
23,64,Tobias Harris,SF,LAC/PHI,82,34.7,1.36,0.30,1.66,8.74,http://www.espn.com/nba/player/gamelog/_/id/6440/tobias-harris
24,65,DeAndre Jordan,C,DAL/NY,69,29.7,-1.49,3.14,1.65,6.23,http://www.espn.com/nba/player/gamelog/_/id/3442/deandre-jordan
25,66,Nikola Mirotic,PF,NO/MIL,46,27.1,0.64,1.01,1.65,3.98,http://www.espn.com/nba/player/gamelog/_/id/6459/nikola-mirotic
26,67,Al-Farouq Aminu,PF,POR,81,28.3,0.21,1.43,1.64,6.79,http://www.espn.com/nba/player/gamelog/_/id/4248/al-farouq-aminu
27,68,Malcolm Brogdon,PG,MIL,64,28.6,1.84,-0.22,1.62,5.63,http://www.espn.com/nba/player/gamelog/_/id/2566769/malcolm-brogdon
28,69,Hassan Whiteside,C,MIA,72,23.3,-2.06,3.66,1.60,4.95,http://www.espn.com/nba/player/gamelog/_/id/4262/hassan-whiteside
29,70,Myles Turner,C,IND,74,28.6,-1.87,3.43,1.56,6.18,http://www.espn.com/nba/player/gamelog/_/id/3133628/myles-turner
30,71,Dewayne Dedmon,C,ATL,64,25.1,-0.45,1.99,1.54,4.86,http://www.espn.com/nba/player/gamelog/_/id/2580913/dewayne-dedmon
31,72,Jeremy Lamb,SG,CHA,79,28.5,1.06,0.47,1.53,6.61,http://www.espn.com/nba/player/gamelog/_/id/6603/jeremy-lamb
32,73,D'Angelo Russell,PG,BKN,81,30.2,2.12,-0.61,1.51,7.29,http://www.espn.com/nba/player/gamelog/_/id/3136776/d'angelo-russell
33,74,Thabo Sefolosha,SF,UTAH,50,12.2,-0.83,2.33,1.50,1.89,http://www.espn.com/nba/player/gamelog/_/id/3028/thabo-sefolosha
34,75,Domantas Sabonis,PF,IND,74,24.8,0.56,0.94,1.50,5.26,http://www.espn.com/nba/player/gamelog/_/id/3155942/domantas-sabonis
35,76,LaMarcus Aldridge,C,SA,81,33.2,0.34,1.15,1.49,7.77,http://www.espn.com/nba/player/gamelog/_/id/2983/lamarcus-aldridge
36,77,Maxi Kleber,PF,DAL,71,21.2,-0.56,2.05,1.49,4.42,http://www.espn.com/nba/player/gamelog/_/id/2960236/maxi-kleber
37,78,Bradley Beal,SG,WSH,82,36.9,3.21,-1.74,1.47,8.76,http://www.espn.com/nba/player/gamelog/_/id/6580/bradley-beal
38,79,Jayson Tatum,SF,BOS,79,31.1,0.18,1.24,1.42,6.98,http://www.espn.com/nba/player/gamelog/_/id/4065648/jayson-tatum
39,80,Bam Adebayo,C,MIA,82,23.3,-1.09,2.46,1.37,5.32,http://www.espn.com/nba/player/gamelog/_/id/4066261/bam-adebayo
0,81,Ricky Rubio,PG,UTAH,68,27.9,0.35,1.00,1.35,5.56,http://www.espn.com/nba/player/gamelog/_/id/4011/ricky-rubio
1,82,Fred VanVleet,PG,TOR,64,27.5,1.10,0.25,1.35,4.99,http://www.espn.com/nba/player/gamelog/_/id/2991230/fred-vanvleet
2,83,Kevin Love,PF,CLE,22,27.2,-0.15,1.48,1.33,1.72,http://www.espn.com/nba/player/gamelog/_/id/3449/kevin-love
3,84,Luke Kornet,PF,NY,46,17.0,-0.87,2.20,1.33,2.21,http://www.espn.com/nba/player/gamelog/_/id/3064560/luke-kornet
4,85,Ersan Ilyasova,PF,MIL,67,18.4,-0.53,1.83,1.30,3.63,http://www.espn.com/nba/player/gamelog/_/id/2767/ersan-ilyasova
